scholarship_id,name,funder,block,amount_detail,covers,tunisian_eligible,eligibility_verbatim,exclusion_clause_verbatim,deadline_2027_intake,application_url,path_codes,notes,sources
emjm-umbrella,Erasmus Mundus Joint Masters (EMJM) student scholarship — umbrella rules,European Commission / EACEA (Erasmus+ Key Action 2),EU-level,"Unit contribution of EUR 1,400/month x DS (duration of the Master in months). Programme Guide formula quoted verbatim: ""1 400 Euros/month x DS"". For a 24-month EMJM that is EUR 33,600 total; 18 months = EUR 25,200; 12 months = EUR 16,800. NOTE — under the post-2021 EMJM design this single monthly unit REPLACED the old EMJMD three-part split (participation costs / travel+installation / subsistence). The Programme Guide states the amount ""shall cover travel, visa, installation and subsistence costs"" as one lump. There is NO separately published Partner-Country uplift in the 2021+ EMJM rules — the EUR 1,400/month is the same regardless of nationality. Individual consortia may still publish their own internal breakdown (e.g. EUR 1,275/month subsistence + separate travel/installation), which is a consortium presentation choice, not an EC rule.","No tuition/participation fees for scholarship holders (""projects cannot charge tuition fees or other mandatory costs related to student participation in the course to Erasmus Mundus scholarship holders""); no application fee; plus EUR 1,400/month covering travel, visa, installation and subsistence.",YES,"""EMJM scholarships can be offered to students from all over the world. However, consortia should ensure geographical balance – i.e. no more than 10% of the total number of scholarships awarded during project implementation should be awarded to candidates from the same nationality."" Students must be ""enrolled at Master level who have obtained a first higher education degree or demonstrate a recognised equivalent level of learning.""","No nationality exclusion found. The only nationality-linked constraint quoted in the Programme Guide is the geographical-balance cap: ""no more than 10% of the total number of scholarships awarded during project implementation should be awarded to candidates from the same nationality."" (Tunisia is not a high-volume EMJM nationality, so this cap is unlikely to bind.)","Set per consortium, not centrally. EMJM calls for an autumn intake typically close between October and February of the PRECEDING academic year — i.e. for a September 2027 start, expect deadlines roughly Oct 2026 – Feb 2027. NOT FOUND as a central date; must be checked per programme.",https://www.eacea.ec.europa.eu/scholarships/erasmus-mundus-catalogue_en,A | B | C | AA | AB | AC | X,"CRITICAL CORRECTION TO THE WORKING ASSUMPTION: the belief that Partner-Country status INCREASES the EMJM award is true of the OLD Erasmus Mundus Joint Master Degrees (EMJMD, 2014-2020 calls), where participation-cost caps were EUR 9,000/yr for Programme Country vs EUR 25,000/yr for Partner Country students and travel/installation was EUR 1,000 vs EUR 3,000. Under the current EMJM design (2021+ calls, which is what a Sept 2027 intake will be) the grant is a flat EUR 1,400/month for everyone. Tunisian status is therefore neutral on the money, not favourable — but it is fully eligible. Second point: Tunisia is a ""third country not associated to the Programme"" (Region 3, South-Mediterranean). Being in that category is what makes a Tunisian applicant a normal, welcome EMJM candidate rather than one competing inside an EU quota. Third point: a Tunisian applicant with NO prior EU residency is exactly the profile EMJM targets; the only residency-linked rule some consortia apply is a mobility rule (you cannot do your mobility in the country where you obtained your first degree) — irrelevant here.","{""field"": ""scholarship amount, coverage, eligibility, no-tuition rule"", ""url"": ""https://erasmus-plus.ec.europa.eu/programme-guide/part-b/key-action-2/erasmus-mundus-action"", ""accessed"": ""2026-08-25""} | {""field"": ""catalogue of EMJM programmes (220 projects, filterable by country/university/field)"", ""url"": ""https://www.eacea.ec.europa.eu/scholarships/erasmus-mundus-catalogue_en"", ""accessed"": ""2026-08-25""}"
emjm-resound,ReSound — Erasmus Mundus Joint Master of Arts in Sound Design for Media Arts,European Commission / EACEA (Erasmus+ EMJM) — consortium: IADT / Universidade Lusofona / LMTA,EU-level,"""no tuition fees and receive a scholarship of 1,400 EUR per month"" (consortium wording). 24-month programme => EUR 33,600 over the course. Non-scholarship students pay EUR 15,000 total participation costs (EUR 7,500 before semester 1 + EUR 7,500 before semester 3).","Full participation-cost waiver (EUR 15,000) + EUR 1,400/month; consortium states the scholarship covers ""travel, visa and a living allowance"". Estimated living costs 600-1,000 EUR/month not additionally funded.",YES,"""open to both European and non-European students"" (ReSound application page). Entry requires a bachelor degree in sound, music, film or media studies; English proficiency minimum IELTS 6.0 or equivalent.",NOT FOUND — no nationality or residency exclusion stated on the application page.,"NOT FOUND. The 2026 cycle is closed (""Applications for ReSound 2026 have now closed.""). The 2026-intake window ran 20 October 2025 to 20 January 2026, extended to 27 January 2026 (figures surfaced by search of the FilmEU/IADT announcements, NOT verified on a primary page). Expect the Sept-2027 intake call to open around October 2026 and close around late January 2027 — TREAT AS PATTERN, NOT AS A PUBLISHED DATE.",https://resound-ma.eu/application/,A,"VERIFIED AS REAL but the wave-2 lead was over-sold: ReSound has NO Spanish node. Consortium is IADT (Dun Laoghaire, Ireland), Universidade Lusofona (Lisbon, Portugal) and the Lithuanian Academy of Music and Theatre (Vilnius) — the three FilmEU alliance members. It is nonetheless the single most on-target EMJM for path A (Sound Design) in the whole catalogue and is fully open to a Tunisian citizen. Max 24 places per year (""A maximum of 24 places are offered at ReSound each year""). CAVEAT FOR THIS CANDIDATE: entry is specified as a bachelor in sound, music, film or media studies — a Software Engineering degree is not on that list, so admission would depend on the consortium accepting a portfolio/practice-based equivalence. This is an arts master (MA), not an engineering one. Language of instruction not explicitly stated on the page; English proficiency is mandatory, implying English.","{""field"": ""consortium partners, cohort size, tuition, scholarship amount, eligibility, 2026 closure"", ""url"": ""https://resound-ma.eu/application/"", ""accessed"": ""2026-08-25""} | {""field"": ""programme overview, partner list"", ""url"": ""https://resound-ma.eu/"", ""accessed"": ""2026-08-25""}"
emjm-emai-upf,EMAI — Erasmus Mundus Joint Master in Artificial Intelligence,European Commission / EACEA (Erasmus+ EMJM); coordinated by Universitat Pompeu Fabra,EU-level,"Erasmus Mundus Scholarship (EMS): full tuition waiver + approx. EUR 1,400/month stipend + travel support, for up to 24 months (=> approx. EUR 33,600 stipend over the programme). A second, lesser instrument exists: a Tuition Fee Waiver (TFW) with NO stipend, applied for in a separate round. AMOUNT NOT VERIFIED ON PRIMARY PAGE — upf.edu returns HTTP 403 to automated fetch.","EMS: participation costs/tuition + monthly subsistence + travel. TFW: tuition only, no living stipend.",YES,"NOT FOUND verbatim on the primary page (upf.edu returns 403). The governing rule is the EMJM Programme Guide text: ""EMJM scholarships can be offered to students from all over the world."" UPF describes its round 3 as open to ""worldwide self-funded candidates"" and round 4 as ""exclusively for EU self-funded candidates"", which confirms non-EU applicants are handled as a normal category and are in fact the target of the EARLIEST (scholarship) round.","NOT FOUND. Note the inverse-direction clause that DOES exist: the fourth application period is ""exclusively for EU self-funded candidates"" — i.e. the only nationality-restricted round excludes non-EU applicants from a LATE self-funded round, not from the scholarship.",NOT FOUND for the Sept-2027 intake. The published 2026-intake calendar (four rounds) was: 1st period 15/11/2025 - 20/12/2025 23:59 CET for Erasmus Mundus Scholarship (EMS) candidates; 2nd period 21/12/2025 - 18/03/2026 23:59 CET for Tuition Fee Waiver candidates; 3rd period 19/03/2026 - 05/06/2026 23:59 CEST for worldwide self-funded candidates; 4th period 06/06/2026 - 06/07/2026 23:59 CEST exclusively for EU self-funded candidates. THE SCHOLARSHIP ROUND CLOSES IN DECEMBER — for a September 2027 start expect it to open mid-November 2026 and close around 20 December 2026. This is the single earliest deadline found in this block and is the classic way to miss EMAI by a year.,https://www.upf.edu/web/emai/access-admission,AA | B,"RUCT 4318493, estado ""Publicado en B.O.E."", active — official Master Universitario, confirmed from output/ruct-backbone.jsonl. Full consortium per RUCT title: Universidad Pompeu Fabra; Radboud Universiteit Nijmegen (Netherlands); Universita degli Studi di Roma ""La Sapienza"" (Italy); Univerza v Ljubljani (Slovenia). UPF COORDINATES. 15 full Erasmus Mundus Scholarships were allocated for the 2025-2026 edition (search-index figure, not verified on the primary page). SOURCE ACCESS WARNING: ""search index — page returns 403, not directly fetched"" applies to the deadline calendar, the scholarship count and the amount. NEEDS A HUMAN TO OPEN https://www.upf.edu/web/emai/access-admission IN A NORMAL BROWSER. Relevance to this candidate: strongest AA/B fit with a Spanish node, in Barcelona, taught in English, and the Music Technology Group is at UPF (though EMAI is not an MTG programme).","{""field"": ""official status, RUCT code, consortium members"", ""url"": ""https://www.educacion.gob.es/ruct/estudio.action?codigoCiclo=SC&codigoTipo=M&CodigoEstudio=4318493&actual=estudios"", ""accessed"": ""2026-08-25""} | {""field"": ""application periods, scholarship count, amount — SEARCH INDEX ONLY, page returns 403"", ""url"": ""https://www.upf.edu/web/emai/access-admission"", ""accessed"": ""2026-08-25""} | {""field"": ""EMJM scholarship rules and eligibility"", ""url"": ""https://erasmus-plus.ec.europa.eu/programme-guide/part-b/key-action-2/erasmus-mundus-action"", ""accessed"": ""2026-08-25""}"
emjm-ipcvai-uam,IPCVai — Erasmus Mundus Joint Master in Artificial Intelligence for Image Processing and Computer Vision,European Commission / EACEA (Erasmus+ EMJM); coordinated by Universite de Bordeaux,EU-level,"Full scholarship: EUR 1,400 per month for the full 2-year duration (=> EUR 33,600), plus full waiver of participation costs. Consortium wording: scholarships are ""full scholarships, providing EUR 1,400 per month for the entire two-year duration of the programme"" and ""the scholarship also covers the participation costs of the programme, meaning all tuition and administrative fees are fully paid"". Separately, ""half-fee waivers for self-funded students"" are available. Also noted: all students may apply to PPKE for Erasmus+ top-up funding for the Madrid semester at a current rate of EUR 520/month.","Tuition + all administrative fees + EUR 1,400/month for living, accommodation, travel and materials.",YES,"""Students must be able to finance their study and living expenses, either by EU scholarships, non-EU scholarships or other funding resources."" Entry: a bachelor degree (180 ECTS) in computer science, engineering, mathematics or physics; English B2 (IELTS 6.5 / TOEFL 90). No nationality restriction stated. Scholarships ""will be awarded to a select group of candidates with the highest scores from both the written and oral assessments during the selection process.""",NOT FOUND — no nationality or residency exclusion appears on ipcv.eu.,"NOT FOUND. Only the self-funding call is currently published: ""9 March - 7 April, 2026 (at noon - Paris time)"". The Erasmus Mundus SCHOLARSHIP round is not currently listed on the site; a previous cycle used 4 February 2024, 23:55 CET. PATTERN: scholarship round closes early February of the year of entry. For a September 2027 start expect a deadline around early February 2027 — NOT A PUBLISHED DATE, must be re-checked from October 2026.",https://ipcv.eu/application-and-selection/apply-now/,AA,"RUCT 3500514, estado ""Publicado en B.O.E."", active. Consortium: Pazmany Peter Catholic University Budapest (semester 1), Universidad Autonoma de Madrid (semester 2), Universite de Bordeaux (semester 3). UAM is a PARTNER, not the coordinator — the application goes through Bordeaux (portal https://emundus-ipcv.u-bordeaux.fr, contact application-ipcv@u-bordeaux.fr). Fully taught in English (""Fully taught in English""). Entry bar is 180 ECTS, so a 300-ECTS Software Engineering degree clears it comfortably. WARNING for path fit: this is computer vision / image processing, not audio — it is AA only, no A/B/C content. Participation-fee amounts for EU vs non-EU self-funded students NOT FOUND on the site.","{""field"": ""consortium, coordinator, language, application portal"", ""url"": ""https://ipcv.eu/"", ""accessed"": ""2026-08-25""} | {""field"": ""self-funding deadline 9 March - 7 April 2026"", ""url"": ""https://ipcv.eu/application-and-selection/application/"", ""accessed"": ""2026-08-25""} | {""field"": ""scholarship amount EUR 1,400/month, coverage, entry requirements, PPKE Erasmus+ top-up"", ""url"": ""https://ipcv.eu/about-ipcv-program-2/costs-and-funding-2/scholarships/"", ""accessed"": ""2026-08-25""} | {""field"": ""official status, RUCT code"", ""url"": ""https://www.educacion.gob.es/ruct/estudio.action?codigoCiclo=SC&codigoTipo=M&CodigoEstudio=3500514&actual=estudios"", ""accessed"": ""2026-08-25""}"
emjm-waves-upv,"WAVES — Erasmus Mundus Master in Waves, Acoustics, Vibrations, Engineering and Sound",European Commission / EACEA (Erasmus+ EMJM); consortium Coimbra / UPV Gandia / Aix-Marseille / Centrale Mediterranee,EU-level,"NOT FOUND — no scholarship amount is published on master-waves.eu or the UPV programme page. If a scholarship round reopens it would be the standard EMJM EUR 1,400/month + participation-cost waiver. Do not assume it will reopen (see deadline field).",NOT FOUND on primary pages.,CONDITIONAL,"NOT FOUND — no nationality or residency eligibility text is published on master-waves.eu (the application platform is down) or on the UPV page. The blocker here is not nationality, it is whether the programme recruits at all.",NOT FOUND,"BLOCKED / CONFLICT. master-waves.eu states (as of 1 October 2025) that following the decision not to open recruitment for a 2026-2028 cohort, ""The application platform is therefore unavailable"". The UPV programme page simultaneously advertises ""Course start: September of 2026 (course 26-27)"" with pre-registration phases from November 2025 to September 2026, while listing offered places as ""Not avaliable (course 26-27)"" and the title as ""Title in the process of renewal"". CONFLICT LOGGED — both values recorded. NO September-2027 date is published anywhere. A human must contact the consortium directly before counting on this route.",https://application.master-waves.eu/,A | C,"THE HIGHEST PATH-FIT EMJM WITH A SPANISH NODE FOR THIS CANDIDATE (acoustics + sound, path A and C, Gandia is UPVs audio/sound campus) — AND ALSO THE MOST AT-RISK. RUCT 4317455, estado ""Publicado en B.O.E."", active in the backbone; UPV separately cites registration number 2289 in the Registro de Universidades. Consortium: Universidade de Coimbra (semester 1, structural dynamics + building acoustics), UPV Gandia (semester 2), Aix-Marseille Universite (semester 3, Marseille, environmental acoustics), Centrale Mediterranee / Ecole Centrale de Marseille; semester 4 is a worldwide internship + thesis. Language: English (UPV states ""English"", no language requirement). UPV fee data, useful if it runs self-funded: 39.27 EUR/credit x 120 ECTS = EUR 4,712.40 total (2026-27 rates), and UPV publishes THE SAME price for Type 1 (national/EU/resident) and Type 2 (other international) students — i.e. NO non-EU surcharge on this title. BLOCKER: EMJM consortium funding runs in fixed multi-year editions; a consortium that skipped the 2026-2028 cohort has most likely reached the end of its EC grant, which usually means the Sept-2027 intake is either self-funded or does not exist. Treat WAVES as unfunded until the consortium says otherwise.","{""field"": ""consortium members, semester structure, no 2026-2028 cohort, platform unavailable"", ""url"": ""https://master-waves.eu/"", ""accessed"": ""2026-08-25""} | {""field"": ""language, fees 39.27 EUR/credit, no non-EU surcharge, places not available 26-27, title in renewal, registro 2289"", ""url"": ""https://www.upv.es/estudios/master/muemwaves/en/home/"", ""accessed"": ""2026-08-25""} | {""field"": ""RUCT official status"", ""url"": ""https://www.educacion.gob.es/ruct/estudio.action?codigoCiclo=SC&codigoTipo=M&CodigoEstudio=4317455&actual=estudios"", ""accessed"": ""2026-08-25""}"
emjm-bdma-upc,BDMA — Erasmus Mundus Master in Big Data Management and Analytics,European Commission / EACEA (Erasmus+ EMJM) — FUNDING ENDED; coordinated by Universite Libre de Bruxelles,EU-level,"NO LONGER AWARDED. The consortium states the programme ""has finished the current funding from the European Commission"" and that ""there will NOT be an opening for"" Erasmus Mundus scholarships. Self-funded entry continues.","Nothing — no EMJM scholarship is on offer for upcoming intakes. Self-funded students pay participation fees (amounts NOT FOUND on the site; the page directs to a ""Tuition Fees & Scholarships"" section).",NO,"Programme entry (not scholarship): students need ""a Bachelor of Science (or a level equivalent to 180 ETCS) with major in Computer Science"" and English proficiency at B2 level or higher. ""The tuition language is English.""","""The BDMA Program has finished the current funding from the European Commission. Therefore, there will NOT be an opening for Erasmus Mundus scholarships."" — this is a funding termination, not a nationality exclusion. A Tunisian citizen remains eligible to ENROL self-funded; they cannot obtain the EMJM scholarship.","NOT FOUND on the primary site. Aggregator reporting suggests a self-funded application deadline in May 2027 for the 2027 intake — NOT VERIFIED ON bdma.ulb.ac.be, do not act on it. Applications run via the emundus platform.",https://bdma.ulb.ac.be/,AB | X,"RUCT 4317908 active (""Publicado en B.O.E.""); an older edition 4317203 is ""TITULACION A EXTINGUIR"" — consistent with a consortium winding through grant editions. Consortium: ULB (Belgium, COORDINATOR, semester 1), UPC Barcelona (semester 2), TU Eindhoven (Netherlands), CentraleSupelec (France), Universita degli Studi di Padova (Italy). RANK THIS LOW FOR A FUNDING-DRIVEN SEARCH: it is a strong AB programme but the money is gone. Wave 1 listed it as an EMJM target; that is now stale.","{""field"": ""EC funding ended, no Erasmus Mundus scholarship opening, consortium, coordinator, language, entry requirements"", ""url"": ""https://bdma.ulb.ac.be/"", ""accessed"": ""2026-08-25""} | {""field"": ""RUCT official status"", ""url"": ""https://www.educacion.gob.es/ruct/estudio.action?codigoCiclo=SC&codigoTipo=M&CodigoEstudio=4317908&actual=estudios"", ""accessed"": ""2026-08-25""}"
emjm-codas-upc,CoDaS — Erasmus Mundus Joint Master in Communications Engineering and Data Science,European Commission / EACEA (Erasmus+ EMJM); coordinated by Aalto University (Finland),EU-level,"The Erasmus Mundus scholarship covers the Programme fee (EUR 8,000 per academic year) for the normative duration of studies (two academic years) = EUR 16,000, PLUS EUR 1,400/month for subsistence for the duration of the programme, up to a maximum of 24 months = EUR 33,600. Total value approx. EUR 49,600.","Full programme fee (EUR 8,000/yr x 2) + EUR 1,400/month subsistence for up to 24 months.",YES,"""The programme fee for the CoDaS programme is 8000 EUR/academic year, and the fee is the same for all students of the programme regardless of their citizenship."" ""Applicants can apply for the available scholarships when they apply to the CoDaS programme. All applicants who have applied for the scholarships are considered for them."" Governing EMJM rule: ""EMJM scholarships can be offered to students from all over the world.""","""Students who have previously received an Erasmus Mundus Joint Master (EMJM) scholarship cannot apply for an additional scholarship through the EMJM programme"" and ""students already funded by an Erasmus Mundus Joint Masters (EMJM) are ineligible for further European Union scholarships throughout their entire master course."" No nationality exclusion.","PUBLISHED AND CONFIRMED: ""Open for applications from 1 Dec 2026 - 5 January 2027"" for the 2027 intake. THIS IS THE ONLY HARD SEPTEMBER-2027 EMJM DEADLINE FOUND IN THIS BLOCK. (For comparison, the 2026 intake ran 2 Dec 2025 - 12 Jan 2026.)",https://www.unite-codas-master.eu/admission.html,AB | C | AC,"RUCT 3500616, estado ""Publicado en B.O.E."", active. Consortium: Aalto University (Finland, COORDINATOR), UPC BarcelonaTech (Spain), Grenoble INP-UGA (France), Instituto Superior Tecnico Universidade de Lisboa (Portugal), TU Braunschweig (Germany). Part of the Unite! European University alliance. Structure: two years, 120 ECTS, one year at each of two partner universities; four possible home universities (Aalto, Tecnico Lisboa, TU Braunschweig, UPC Barcelona) and five possible hosts (those four plus Grenoble INP-UGA). Language: English (UPC states ""English"", face-to-face). UPC offers 10 new intake places. PRE-ENROLMENT IS DONE THROUGH AALTO, not UPC — ""Pre-enrollment must be completed through Aalto University (the coordinating institution)"", and UPC own page currently reads ""Pre-enrolment for this master degree is currently closed"", which is normal between rounds and is NOT evidence the programme is closing. Note the fee equality clause is unusually explicit and useful: no non-EU surcharge. PATH FIT: communications engineering + data science; contains signal-processing content (path C) and data science (AB), but no music/audio specialisation. BEST FUNDED, MOST CERTAIN EMJM OPTION WITH A SPANISH NODE FOR THIS CANDIDATE.","{""field"": ""2027 application window 1 Dec 2026 - 5 Jan 2027, consortium members"", ""url"": ""https://www.unite-codas-master.eu/"", ""accessed"": ""2026-08-25""} | {""field"": ""programme fee EUR 8,000/yr regardless of citizenship, scholarship = fee + EUR 1,400/month up to 24 months, prior-EMJM exclusion"", ""url"": ""https://www.unite-codas-master.eu/scholarship.html"", ""accessed"": ""2026-08-25""} | {""field"": ""UPC role, 10 places, language English, 120 ECTS, pre-enrolment via Aalto"", ""url"": ""https://www.upc.edu/en/masters/erasmus-mundus-communications-engineering-and-data-science-codas"", ""accessed"": ""2026-08-25""} | {""field"": ""RUCT official status"", ""url"": ""https://www.educacion.gob.es/ruct/estudio.action?codigoCiclo=SC&codigoTipo=M&CodigoEstudio=3500616&actual=estudios"", ""accessed"": ""2026-08-25""}"
emjm-lct-ehu,LCT — Erasmus Mundus Master in Language and Communication Technologies,European Commission / EACEA (Erasmus+ EMJM) — DISCONTINUED; coordinated by Saarland University,EU-level,"NONE AVAILABLE. ""Erasmus Mundus scholarships are not available for the upcoming intake."" Self-funding fees were EUR 8,500 per year for non-European students and EUR 4,250 per year for European students, with ""a limited number of partial fee waivers"".",Nothing. No EMJM scholarship on offer.,NO,"""Due to the lack of Erasmus Mundus funding, the LCT Master Programme will unfortunately not continue in its current form, and there will be no further calls for applications.""","""Due to the lack of Erasmus Mundus funding, the LCT Master Programme will unfortunately not continue in its current form, and there will be no further calls for applications."" Also note the FEE structure was itself nationality-differentiated against non-Europeans: ""EUR 8,500 per year for non-European students; EUR 4,250 per year for European students"" — a 2x non-EU surcharge, relevant if any successor programme reuses it.",NONE — no further calls for applications. CONTRADICTION LOGGED: aggregator/secondary reporting claimed the consortium would reapply for Erasmus Mundus funding with a possible resumption in 2027; the consortium own page states flatly that there will be no further calls. THE PRIMARY SOURCE WINS. Do not plan around a 2027 LCT intake.,https://lct-master.org/current_call_for_application/,AA,"DEAD ROUTE. UPV/EHU still hosts a programme page (https://www.ehu.eus/en/web/master/master-language-communication-technologies) but the consortium coordinator (Saarland) has closed applications. RUCT history is consistent: the two earlier NLP joint titles in the register (3002937 and 4311353) are both TITULACION EXTINGUIDA. Flag for a human to confirm with UPV/EHU directly whether any Basque-side successor exists, but do not count this as funding.","{""field"": ""discontinuation statement, fees, fee waivers, scholarship unavailability"", ""url"": ""https://lct-master.org/current_call_for_application/"", ""accessed"": ""2026-08-25""} | {""field"": ""Spanish node"", ""url"": ""https://www.ehu.eus/en/web/master/master-language-communication-technologies"", ""accessed"": ""2026-08-25""}"
emjm-multicom-um,MULTICOM — Erasmus Mundus Joint Master in Data Science of Human Multimodal Communication,European Commission / EACEA (Erasmus+ EMJM); COORDINATED BY UNIVERSIDAD DE MURCIA (Spain),EU-level,"""Scholarships cover participation costs (tuition, insurance, admin/cultural costs) and include a pro-rata EUR 1,400/month stipend for the full duration of the program."" Self-funded students pay public fees estimated at ""17000 EUR per year, 34000 EUR for the full program"", so the participation-cost waiver alone is worth approx. EUR 34,000; with the stipend (24 x 1,400 = EUR 33,600) the total package is approx. EUR 67,600. The consortium also warns self-funders to budget ""at least 35,000 EUR for the full duration of the program (2 years)"" for travel, visas and living.","Tuition + insurance + admin/cultural costs + EUR 1,400/month stipend for the full 24 months.",YES,"""10-15 Erasmus Mundus scholarships are planned for each edition."" The consortium distributes ""regular Erasmus Mundus Scholarships evenly between EU and non-EU students throughout the first four editions (2026-2031)"", with ""a max. 10% of scholarships for the same nationality during the first four editions"". TARGETED REGIONAL (NDICI/IPA) TOP-UP SCHOLARSHIPS ARE LISTED SEPARATELY, INCLUDING: ""Neighborhood South: 1-2 full scholarships"" (alongside Sub-Saharan Africa 5-6, Latin America 4-5, Asia 4-5, Central Asia 1-2, Middle East 0-1, Pacific/Caribbean 0-1, Western Balkans 2). ""The 10% rule does not apply to top up scholarships for targeted regions of the world (NDICI and IPA), if applicable."" Entry: ""excellent command of English, a strong background in language and communication, and basic quantitative skills."" Language: ""Taught fully in English. Opportunities to learn Spanish, Swedish, and German.""",No nationality exclusion. The 10% same-nationality cap applies to the REGULAR scholarships only and is explicitly disapplied for the NDICI/IPA targeted-region awards.,"NOT FOUND for a September 2027 start. The FIRST EDITION runs ""Applications are open until 15 March 2026"" with ""First edition starts on 1 September 2026"". The consortium plans four editions 2026-2031, so a 2027 edition is expected; PATTERN suggests an application deadline around mid-March 2027, but NO 2027 DATE IS PUBLISHED. Re-check from late 2026.",https://multicom-em.eu/how-to-apply/,AB | AA,"THE SINGLE MOST IMPORTANT FIND IN THIS BLOCK FOR A TUNISIAN APPLICANT, ON THE MONEY QUESTION. This is where the brief working assumption (""Partner Country status increases the award"") is actually TRUE under the modern EMJM rules — not as a bigger grant per head, but as a RESERVED QUOTA. MULTICOM sets aside 1-2 full scholarships specifically for ""Neighborhood South"", the NDICI Southern Neighbourhood region, which is the EU designation that covers Tunisia (together with Morocco, Algeria, Egypt, Libya, Jordan, Lebanon, Palestine, Syria, Israel). The consortium itself does not enumerate the countries and points readers to the official NDICI/IPA country lists — A HUMAN SHOULD CONFIRM TUNISIA APPEARS ON THE LIST MULTICOM USES before relying on the quota, though Tunisia being in the Southern Neighbourhood is not seriously in doubt. Because that quota is small (1-2), applying EARLY and flagging Tunisian nationality matters. Second important point: MULTICOM is COORDINATED BY A SPANISH UNIVERSITY (Murcia), so the Spanish node is the lead, not a stopover. Third: consortium is Universidad de Murcia (Spain) + Lund University (Sweden) + Friedrich-Alexander-Universitaet Erlangen-Nuernberg (Germany). Brand new programme, first cohort September 2026, so a Sept-2027 entry falls in edition 2. PATH FIT: multimodal human communication data science — speech, gesture, audio-visual signals. This has genuine overlap with paths A/B (audio, speech, multimodal signal analysis) as well as AB, which makes it unusually well matched to the candidate profile among the Spanish EMJMs.","{""field"": ""consortium, coordinator, deadline 15 March 2026, start 1 Sept 2026, language"", ""url"": ""https://multicom-em.eu/"", ""accessed"": ""2026-08-25""} | {""field"": ""scholarship amount, coverage, 10-15 per edition, EU/non-EU split, 10% cap, NDICI/IPA regional quotas including Neighborhood South 1-2, self-funded fees 17,000 EUR/yr"", ""url"": ""https://multicom-em.eu/costs-and-financial-aid/"", ""accessed"": ""2026-08-25""} | {""field"": ""discovery / Spanish node"", ""url"": ""https://multicom.um.es/"", ""accessed"": ""2026-08-25""}"
emjm-maia-udg,MAIA — Erasmus Mundus Joint Master in Medical Imaging and Applications,European Commission / EACEA (Erasmus+ EMJM); COORDINATED BY UNIVERSITAT DE GIRONA (Spain),EU-level,"Erasmus Mundus scholarship covers ""student participation costs (tuition fees and other mandatory costs related to student participation in the course and full insurance coverage) and a subsistence allowance for the entire duration of the programme (1,400 EUR/month)"" = EUR 33,600 over 24 months plus the fee waiver. Self-funded fees: ""4,500 EUR/year per student"" for EU students (EUR 9,000 total) and ""6,500 EUR/year per student"" for non-EU students (EUR 13,000 total). Separate Consortium Grant: ""One student with the strongest academic record from France, Italy, or Spain receives a waiver valued at 9,000 EUR"".","Tuition + all mandatory participation costs + full insurance + EUR 1,400/month subsistence.",CONDITIONAL,"Entry: ""holders of a bachelor degree in Informatics Engineering but also in closely related fields in either Engineering... or Science..."". No nationality restriction on the Erasmus Mundus scholarship itself. WARNING QUOTE ON RELIABILITY OF FUNDING: ""Although students from previous promotions have obtained those grants in the past, it should be noted that none of those can be 100% guaranteed for prospective students, and will ultimately depend on the availability of funding institutions.""","The CONSORTIUM GRANT (the EUR 9,000 waiver) is nationality-restricted AGAINST this candidate: it goes to ""One student with the strongest academic record from France, Italy, or Spain"" — a Tunisian citizen is excluded from that specific award. The regional grants named (Burgundy Regional Council, LazioDisco, UdG-Banco de Santander) are likewise geographically tied. Erasmus+ Master Degree Loans are described as ""EU-backed financing for eligible countries"" — Tunisia is not an Erasmus+ Programme Country, so those loans are NOT available to a Tunisian citizen.","NOT FOUND. The MAIA site currently shows only ""Open soon!"" on the application button, with no dates and no intake year. Must be re-checked; MAIA has historically opened around November-December with a scholarship deadline in January.  DO NOT TREAT THAT PATTERN AS A DATE.",https://maiamaster.udg.edu/admission/,AA,"RUCT 4315815. Coordinated by UdG (Spain), with University of Bourgogne Europe (France) and Universita degli Studi di Cassino e del Lazio Meridionale (Italy) as partners. 120 ECTS over 2 years. NON-EU SURCHARGE CONFIRMED AND EXPLICIT: 6,500 EUR/yr non-EU vs 4,500 EUR/yr EU — a EUR 4,000 penalty over the programme if unfunded. PATH FIT IS POOR FOR THIS CANDIDATE: medical imaging, no audio/music content, AA only. Whether an Erasmus Mundus scholarship round exists for the Sept-2027 intake is NOT CONFIRMED — the fees page describes the scholarship in generic terms and then explicitly disclaims any guarantee. NEEDS A HUMAN TO CHECK https://maiamaster.udg.edu/admission/ once it opens.","{""field"": ""coordinator and partners, 120 ECTS, entry background, application status Open soon"", ""url"": ""https://maiamaster.udg.edu/"", ""accessed"": ""2026-08-25""} | {""field"": ""fees EU 4,500/yr vs non-EU 6,500/yr, EM scholarship coverage and 1,400 EUR/month, consortium grant nationality restriction, no-guarantee disclaimer"", ""url"": ""https://maiamaster.udg.edu/fees/"", ""accessed"": ""2026-08-25""} | {""field"": ""RUCT official status"", ""url"": ""https://www.educacion.gob.es/ruct/estudio.action?codigoCiclo=SC&codigoTipo=M&CodigoEstudio=4315815&actual=estudios"", ""accessed"": ""2026-08-25""}"
