id,path_letter,program_name,degree_awarded,institution,institution_type,city,country,mobility,language_of_instruction,english_level_required,duration_months,ects,tuition_non_eu_eur_per_year,tuition_notes,intake_2027_confirmed,application_opens,application_deadline,deadline_source_cycle,entry_requirements_summary,accepts_engineering_bachelor,portfolio_or_audition_required,scholarship_available,scholarship_names,scholarship_coverage_level,tunisia_eligible,program_url,admissions_url,funding_url,source_urls,verification_status,verifier_agent,verified_date,red_flags,fit_notes
H-001,H,"Master of Science in Acoustics, Audio and Vibrations (Master Universitario en Acustica, Audio y Vibraciones)",Master Universitario (official Spanish master's; degree certificate issued by the Ministry of Education),La Salle Campus Barcelona - Universitat Ramon Llull (URL),Private university (Universitat Ramon Llull; legal entity FUNITEC),Barcelona,Spain,single_site,English,TBC - not stated on programme page,10,60,TBC,No tuition figure published on the programme page or the scholarship page opened this session. Private university - expect a four-figure to five-figure fee. Must be requested from admissions.,no - page shows start date 19 October 2026,TBC,TBC - rolling; admissions committee replies within 8 days of complete documentation,2026 cycle - 2027 TBC,University degree + passport/ID; admissions committee may call an interview (on campus or online). Specific accepted bachelor list not published.,likely,no - possible admissions interview only,yes,Academic Excellence Scholarships (up to 50% for GPA 9.5+; 40% for 8.5+; 20% for 8.0+); La Salle Boost (10-40%); Lasallians Scholarship (10%); Partner University Scholarship (15%); Corporate Agreement (15%),partial,likely - excellence/Boost/Lasallians schemes are not nationality-restricted; the 75% Carolina Foundation award is Ibero-American only and the Casa de Mexico award is Mexican-only,https://www.salleurl.edu/en/education/master-science-acoustics-audio-and-vibrations,https://www.salleurl.edu/en/admissions/masters-admissions/admission-process,https://www.salleurl.edu/en/admissions/masters/scholarship-program,https://www.salleurl.edu/en/education/master-science-acoustics-audio-and-vibrations|https://www.salleurl.edu/en/education/master-science-acoustics-audio-and-vibrations/syllabus|https://www.salleurl.edu/en/admissions/masters/scholarship-program,PARTIALLY_VERIFIED,W1-H,2026-08-22,Private university - tuition not published anywhere public; no scholarship covers full tuition; no stipend. Award IS an official Spanish master's (titulo oficial) - confirmed on programme page.,"STRONGEST SPANISH MATCH. FULL DEGREE with an explicit spatial-audio module: 'Sound recording and immersive audio' (5 ECTS) covering spatial reproduction and spatialization; '3D audio and auralization' is named among the advanced topics module. Also holography, acoustic black holes, metamaterials, AI in audio. Taught at the IASLab acoustics lab. 300-ECTS engineering diploma comfortably exceeds any entry bar. English-taught - no Spanish needed."
H-002,H,Master of Music in Sonology,Master of Music (MMus),Royal Conservatoire The Hague (Koninklijk Conservatorium) - Institute of Sonology,Public conservatoire / university of the arts,The Hague,Netherlands,single_site,English,"IELTS 6.0 / TOEFL iBT 80 (also TOEIC, Cambridge) - required of non-EU applicants excluding UK/CA/AU/NZ/US/ZA",24,TBC - not stated on the pages opened,11488,"Institutional fee for non-EEA master's students, academic year 2026-2027, per koncon.nl tuition page. EEA statutory fee is 2694 EUR. The reduced 8250 EUR rate applies only to DNOA/NMO masters, not Sonology.",TBC - 2026 cycle published,TBC,26 February 2026,2026 cycle - 2027 TBC,"Bachelor's diploma relevant to sonology or related fields: composition of electronic/acoustic music, sound synthesis, sound art, AI, computer science, electronic engineering, musicology, music perception, film studies. No live admission exam.",yes_explicit,"yes - portfolio of previous work (compositions, sound installations, live-performance recordings or research results) PLUS a two-page study plan with semester-by-semester timeline, research questions and thesis topic. No live audition.",yes,"Excellence Scholarship (all nationalities; requires entrance grade 9-10 + convincing Master Plan); NL Scholarship (non-EEA, first study in NL); Top Scholarships (all nationalities); TSH Changemaker Scholarship",partial,yes - NL Scholarship is explicitly for non-EEA students studying in NL for the first time; Excellence/Top/Changemaker are open to all nationalities,https://www.koncon.nl/en/programmes/master/sonology/master-sonology,https://sonology.org/masters-admission/,https://www.koncon.nl/en/application-process/scholarships-and-funds,https://www.koncon.nl/en/programmes/master/sonology/master-sonology|https://sonology.org/masters-admission/|https://www.koncon.nl/en/application-process/tuitionfees|https://www.koncon.nl/en/application-process/scholarships-and-funds,VERIFIED,W1-H,2026-08-22,"Non-EEA tuition 11488 EUR/yr x 2 years is the single largest cost of any row on this path. Scholarship coverage amounts are NOT published - 'partial' is an assumption pending confirmation. Portfolio-gated: client's music portfolio is in progress, so this is FLAGGED not excluded. ECTS not published.","TOP-3 FIND, FULL DEGREE, world-leading spatial-electronic-music institute. Explicit spatial-audio component: the Institute of Sonology runs a dedicated Wave Field Synthesis Studio and the master's teaching includes 'composing with Wave Field Synthesis' (Ji Youn Kang). The department states the spatial aspects of sound have become at least as important in the curriculum. Artistic/compositional rather than engineering framing - the 300-ECTS engineering diploma satisfies the degree bar explicitly (computer science and electronic engineering are named accepted backgrounds), so the risk is entirely portfolio, not credential."
H-003,H,Audiokommunikation und -technologie M.Sc. (Audio Communication and Technology),Master of Science (M.Sc.),Technische Universitaet Berlin - Fachgebiet Audiokommunikation (Audio Communication Group),Public technical university,Berlin,Germany,single_site,German (main language of instruction); English B2 also required as much course literature and some courses are in English,B2 (CEFR),24,120,0,"No tuition fees at TU Berlin. A compulsory semester contribution (Semesterbeitrag, covering social contribution + transport ticket) applies - exact amount TBC, not published on the pages opened this session.",TBC,"01 April (international/foreign-qualification applicants, German-language restricted-admission masters)",15 June (01.04.2026-15.06.2026 published for winter semester 2026/27); VPD from uni-assist also required,2026 cycle - 2027 TBC,"First university degree in a science, engineering, humanities, social science, arts, business or law programme; knowledge of higher mathematics (analysis, linear algebra) at basic-lecture level, minimum 10 LP; knowledge of a programming language or computer algebra system. German C1 required for applicants with foreign qualifications.",yes_explicit,no,TBC - none programme-attached found,TBC - no programme scholarship published; DAAD Study Scholarships and Deutschlandstipendium are external and were not verified on official pages this session,none_found,TBC,https://www.tu.berlin/en/studying/study-programs/all-programs-offered/study-course/audio-communication-and-technology-m-sc,https://www.tu.berlin/en/studierendensekretariat/dates-deadlines-for-application-and-enrollment-at-tu-berlin,TBC,https://www.tu.berlin/en/studying/study-programs/all-programs-offered/study-course/audio-communication-and-technology-m-sc|https://www.tu.berlin/en/ak/study-and-teaching/degree-programs/audio-communication-and-sonology|https://www.tu.berlin/en/studierendensekretariat/dates-deadlines-for-application-and-enrollment-at-tu-berlin,VERIFIED,W1-H,2026-08-22,"GERMAN-TAUGHT, and the German bar is C1 for applicants with foreign qualifications - the highest language bar on this path. Client has no German. Tagged, never dropped per brief. No programme-attached funding found.","EUROPE'S LEADING SPATIAL-AUDIO GROUP AND EFFECTIVELY FREE. FULL DEGREE. Explicit spatial-audio component: 'Virtual acoustics and 3D audio technologies' is a named research and teaching field; the group's facilities include a 192-channel wave field synthesis system, a 3D Media Lab, and a wave field synthesis demonstration room with 832 channels and 2700 loudspeakers (the TU Berlin WFS system). Also hosts the Elektronisches Studio (founded 1953). 300-ECTS engineering diploma exceeds the entry bar and the maths/programming prerequisites are directly satisfied by a software-engineering degree. Zero tuition makes this the best funding-first outcome on the path IF the German C1 can be reached by Sept 2027."
H-004,H,Audio Communication and Sonology (double-degree master's specialisation),Double degree: Master of Science (TU Berlin) + Master of Music in Sonology (Royal Conservatoire The Hague),Technische Universitaet Berlin (Audio Communication Group) + Royal Conservatoire The Hague / Institute of Sonology,Public technical university + public conservatoire,Berlin (year 1) and The Hague (year 2),Germany + Netherlands,rotating,CONFLICT: TU Berlin's own double-degree page requires German TestDaF TDN 4 plus English IELTS 6.0 / TOEFL iBT 83. The Royal Conservatoire's entry-requirements page for the same specialisation states only 'good knowledge of English' and mentions no German requirement.,IELTS 6.0 / TOEFL iBT 83,24,TBC - year 1 at TU Berlin is 39 ECTS of required modules plus electives up to 21 ECTS,TBC,"Year 1 TU Berlin: no tuition, compulsory semester contribution only. Year 2 Royal Conservatoire: regular tuition fees apply - the non-EEA institutional master's fee at KC is 11488 EUR for 2026-2027. Students also cover travel, accommodation and living costs.",TBC - programme starts in October,Apply to TU Berlin Audio Communication and Technology M.Sc. first (01 April window),15 February of the following year to apply for the change to The Hague; notification 15 April,2026 cycle - 2027 TBC,"Bachelor's, master's or graduate degree in a science, engineering, humanities or social sciences from a recognised university; good knowledge of higher mathematics (calculus, linear algebra); knowledge of a programming language or computer algebra system. Must complete 39 ECTS + electives up to 21 ECTS at TU Berlin in year 1 before transferring. A research project proposal must be submitted. Maximum 6 students accepted annually.",yes_explicit,no live audition; a research project proposal is required,TBC,"TBC - none published for the double degree; KC scholarships (Excellence, NL Scholarship) may apply in year 2 - unconfirmed",none_found,TBC,https://www.tu.berlin/en/ak/study-and-teaching/degree-programs/audio-communication-and-sonology,https://www.koncon.nl/en/programmes/master/sonology/masterspecialisation-audiocommsonology/entry-requirements,TBC,https://www.tu.berlin/en/ak/study-and-teaching/degree-programs/audio-communication-and-sonology|https://www.koncon.nl/en/programmes/master/sonology/masterspecialisation-audiocommsonology/entry-requirements|https://www.koncon.nl/en/application-process/tuitionfees,CONFLICT,W1-H,2026-08-22,"UNRESOLVED LANGUAGE CONFLICT between the two official partner pages (TU Berlin: German TDN 4 required; Royal Conservatoire: English only). This must be settled by writing to both institutions before this row can be ranked. Only 6 places per year. Entry is via the German-taught TU Berlin M.Sc., so the German requirement of H-003 most likely still binds in practice. Year-2 non-EEA fee at KC is high.","THE SINGLE BEST SPATIAL-AUDIO FIT IN EUROPE FOR THIS CLIENT IF THE LANGUAGE QUESTION RESOLVES FAVOURABLY - it combines the two leading wave-field-synthesis institutions on the path, and it is a Berlin + Netherlands programme, hitting two priority-1 geographies at once. Explicit spatial-audio component: 192-channel WFS, 3D Media Lab, and the 832-channel / 2700-loudspeaker WFS demonstration room at TU Berlin, plus the Institute of Sonology WFS studio in The Hague. FULL DEGREE (double). 300-ECTS engineering diploma exceeds the bar and satisfies the maths/programming prerequisites explicitly."
H-005,H,Creative Production (Music) MA,"MA, awarded by Marjon University (Plymouth Marjon University), UK",Catalyst - Institute for Creative Arts and Technology (formerly dBs Music Berlin),Private academy; degrees validated and awarded by a UK university,Berlin,Germany,single_site,English,IELTS 6.0 (B2 equivalent) or a pass in Catalyst's free online test,12 (full-time) or 24 (part-time),"TBC - UK credit structure, not published on the pages opened",11693,"2026 fees. Full-time: 6028 EUR per semester (2 instalments/yr) or 11693 EUR annual upfront (includes 3% discount). Part-time: 7134 EUR/yr. Plus a non-refundable 895 EUR enrolment fee per study year, which includes visa support. Catalyst states fees are identical regardless of nationality. A 1000 EUR tuition discount applies for meeting the priority deadline.",no - 2026 cycle published (start mid-September 2026),TBC,30 April 2026 for visa-required applicants; 5 June 2026 for EU/visa-exempt; late applications to 28 August 2026 subject to availability,2026 cycle - 2027 TBC,Bachelor's degree with Honours (e.g. UK 2:1) or equivalent professional/life experience; a detailed project proposal; a sample of research/academic writing; a portfolio; IELTS 6.,likely,yes - portfolio plus detailed project proposal plus academic writing sample,TBC,No scholarships listed on the course page; a scholarships/funding guide section exists but amounts are not published. BAfoeG and German/EU funding schemes named but these are generally not open to non-EU first-time entrants.,none_found,TBC,https://catalyst-berlin.com/music/course/creative-production-music-masters,https://catalyst-berlin.com/about/admissions-faq,https://catalyst-berlin.com/about/course-fees,https://catalyst-berlin.com/music/course/creative-production-music-masters|https://catalyst-berlin.com/about/course-fees|https://catalyst-berlin.com/about/about,VERIFIED,W1-H,2026-08-22,"AWARD IS A UK DEGREE (Marjon University), NOT a German staatlich anerkannter Abschluss - Catalyst states graduates hold British degrees with equivalent recognised status in Germany and the EU, but this must be checked for the Tunisian student visa and for any German funding. Full sticker price with no scholarship found: ~12588 EUR for one full-time year including enrolment fee. Portfolio-gated - FLAGGED not excluded.",BEST ENGLISH-TAUGHT BERLIN OPTION AND STRONG ON PRODUCTION-SIDE IMMERSIVE AUDIO. FULL DEGREE (1 year). Explicit spatial-audio component: the course description names spatial audio within creative production; the programme runs spatial sound and multichannel diffusion workshops; Catalyst has a purpose-built Dolby Atmos spatial sound studio with a 7.1.4 speaker system and an electronic performance space with spatial sound; students have accessed the Monom 4D multichannel composition system and present spatial work at Catalyst's 'From All Sides' Spatial Sound Forum. Also directly serves the client's electronic-music-producer track. English-taught in Berlin removes the German barrier that blocks H-003/H-004.
H-006,H,"Master of Music - pathway Music Design (strands: Composition, Music Production, Music Technology, Sound Design)",Master of Music (MMus),HKU University of the Arts Utrecht - Music and Technology,University of applied sciences / art school (hogeschool),Utrecht,Netherlands,single_site,English (page lists English|Dutch; MMus courses primarily English),TBC - see HKU general enrolment requirements,24,120,TBC,Statutory tuition fee for 2026-2027 is 2694 EUR (EEA). The non-EEA institutional fee is not published as a figure - HKU directs applicants to a tuition-fee calculator and warns that 'the rate for institutional tuition fees for non-EEA students may rise considerably in the coming years'.,TBC,1 October (HKU page cites 1 October 2027 for the following intake),Non-EU/EEA candidates advised to apply before 1 April to complete immigration procedures by the 1 June deadline,as published on the HKU programme page - 2027 dates shown,"Bachelor's degree in a relevant field or equivalent professional experience. Selection on motivation letter, study plan, CV and portfolio. HKU can make an exception for candidates without a Bachelor of Music only in case of exceptional talent and a steady track record.",likely,"yes - portfolio, motivation letter, study plan, CV",yes,"Holland Scholarship (merit-based, for international students)",partial,likely - the Holland Scholarship is for non-EEA students; specific nationality list not verified this session,https://www.hku.nl/en/study-at-hku/music-and-technology/master-of-music-pathway-music-design,https://www.hku.nl/en/study-at-hku/explore-and-apply/application-and-admission/general-enrolment-requirements,https://www.hku.nl/en/study-at-hku/explore-and-apply/tuition-fee-and-finances,https://www.hku.nl/en/study-at-hku/music-and-technology/master-of-music-pathway-music-design|https://www.hku.nl/en/study-at-hku/explore-and-apply/tuition-fee-and-finances,PARTIALLY_VERIFIED,W1-H,2026-08-22,Non-EEA institutional tuition NOT published as a figure and HKU explicitly warns it may rise considerably - a material funding unknown. Portfolio-gated - FLAGGED not excluded. Spatial-audio content NOT confirmed on the official master's page.,"PARTIAL MATCH - SPATIAL AUDIO IS A COMPONENT, NOT THE DEGREE. FULL DEGREE with a Sound Design / Music Technology strand. The spatial-audio component: HKU's Music and Technology department is documented as running spatial sound classes built around the 4DSOUND system (spatialisation, immersive performance, composition, interactive installation) and hosts the Sonic Interaction Lab (SiLab) plus the EU Horizon XTREME mixed-reality project - but NONE of this appears on the master's programme page itself, so treat the spatial dimension as TBC until confirmed with the department. Directly serves the electronic-music-producer track."
H-007,H,Master in Sound and Music Computing / Master Universitari en Tecnologies del So i de la Musica (SMC),"Master Universitario (official Spanish master's) - per prior leads, unconfirmed this session","Universitat Pompeu Fabra (UPF) - Music Technology Group, Department of Engineering",Public university,Barcelona,Spain,single_site,English (per prior leads - unconfirmed this session),TBC,12,"60 (40 taught + 20 thesis, per prior leads - unconfirmed this session)",TBC,TBC - official UPF pages could not be opened this session.,TBC,TBC,TBC,TBC,TBC - official pages unreachable this session.,unclear,TBC,TBC,TBC,none_found,TBC,https://www.upf.edu/web/smc,https://www.upf.edu/web/smc/academic-program,TBC,https://www.upf.edu/web/smc/academic-program,DEAD_LINK,W1-H,2026-08-22,"OFFICIAL SITE UNREACHABLE THIS SESSION - upf.edu returned HTTP 403 / Cloudflare interactive challenge to both WebFetch and curl, so NOTHING in this row is confirmed on the institution's own domain. All values above are carried from the prior unverified lead sweep and MUST be re-verified in Wave 2 from a different network path. Do not treat any figure here as fact.","WEAK-TO-PARTIAL SPATIAL-AUDIO FIT, but included because UPF/MTG is Barcelona's flagship music-technology group and the brief names it explicitly. Evidence found this session: SMC's published core is audio signal processing, machine learning, perception and cognition, interactive systems and semantic technologies - NO dedicated spatial/3D/ambisonics taught module surfaced. Spatial audio appears at MTG as MSc THESIS work (e.g. 'Advancing a Wavelet-Based Spatial Audio Format', SMC thesis 2021-2022). So the spatial-audio route here is 'do a spatial-audio thesis inside a general music-computing master', not 'study spatial audio'. Excellent fit for the software-engineering half of the client's dual career regardless."
H-008,H,Master Universitario en Ingenieria Acustica (MUIA) (Master's Degree in Acoustic Engineering),Master Universitario (official Spanish master's),Universitat Politecnica de Valencia (UPV) - Campus de Gandia,Public technical university,Gandia (Valencia),Spain,single_site,Spanish (some Valencian),not required,12 (September 2026 - July 2027),60,4241,Type 2 (non-EU / other international) rate is 70.68 EUR per credit for course 2026-27 = approx. 4240.80 EUR for 60 ECTS. Type 1 (EU/national/resident) rate is 35.34 EUR per credit = approx. 2120.40 EUR. Figures quoted verbatim from the UPV programme page.,no - 2026-27 cycle published,"17 November 2025 (Phase 0, for international students from outside the EU)",13 February 2026 (Phase 0); Phase 1 2 March - 30 April 2026; Phase 2 15-26 June 2026; Phase 3 31 July - 7 August and 24 August - 4 September 2026,2026 cycle - 2027 TBC,Not published on the pages opened; UPV directs applicants to the Admision section. Formative complements may be required depending on the entry qualification.,likely,no,TBC,TBC,none_found,TBC,https://www.upv.es/estudios/master/muia/en/home/,https://www.upv.es/titulaciones/MUIA/indexi.html,TBC,https://www.upv.es/estudios/master/muia/en/home/|https://www.upv.es/titulaciones/MUIA/indexi.html,PARTIALLY_VERIFIED,W1-H,2026-08-22,"Spanish-taught only. Subject list is NOT published on the pages opened - the spatial-audio content could not be confirmed or ruled out. There is a dedicated Phase 0 admission window for non-EU applicants closing in mid-February, roughly seven months before the intake - a hard early deadline the client must not miss.","PARTIAL MATCH - ACOUSTICS DEGREE, SPATIAL COMPONENT UNCONFIRMED. FULL DEGREE, cheapest verified non-EU tuition on this path (approx. 4241 EUR total). The Gandia campus hosts UPV's acoustics group and the page states the programme spans 'everything from architectural to underwater acoustics'. No spatial-audio, 3D-audio, ambisonics or immersive module was confirmed - the subject list must be pulled from the Plan de estudios in Wave 2. Note this is the Spanish partner of the WAVES Erasmus Mundus consortium (H-017)."
H-009,H,Master Universitario en Ingenieria Acustica (Master's Degree in Acoustic Engineering),Master Universitario (official Spanish master's),Universidad Politecnica de Madrid (UPM) - ETSIS de Telecomunicacion (ETSIST),Public technical university,Madrid,Spain,single_site,Spanish,not required,12,60 (two semesters of 30 ECTS; 15-ECTS Trabajo Fin de Master),TBC,TBC - not published on the pages opened. Public Madrid master's fees are typically low but no figure was confirmed this session.,no,TBC,TBC - UPM master registration periods run roughly late January to May with an extraordinary August round if places remain; the programme blog still shows the 2024/2025 cycle,stale - programme blog shows 2024/2025; 2027 TBC,"Formative complements (complementos formativos) may be required depending on the entry qualification and prior knowledge, as specified in the memoria de verificacion.",likely,no,TBC,TBC,none_found,TBC,https://www.etsist.upm.es/estudios-ingenieria-sistemas-telecomunicaciones-madrid/masters-ingenieria-madrid/master_ingenieria_acustica,https://www.etsist.upm.es/estudios-ingenieria-sistemas-telecomunicaciones-madrid/masters-ingenieria-madrid/inscripciones_master,TBC,https://www.etsist.upm.es/estudios-ingenieria-sistemas-telecomunicaciones-madrid/masters-ingenieria-madrid/master_ingenieria_acustica/plan-estudios|https://blogs.upm.es/masteracustica/,PARTIALLY_VERIFIED,W1-H,2026-08-22,COVERAGE-CHECK ROW - NOT A SPATIAL-AUDIO PROGRAMME. The programme's own blog is stale (still advertising 2024/2025 admission). Spanish-taught. No tuition figure published.,"NEGATIVE FINDING, LOGGED SO IT IS NOT RE-SEARCHED. The full subject list was read from the official plan de estudios: Ingenieria Acustica, Psicoacustica, Acustica Ambiental, Aislamiento Acustico, Control de Ruido y Vibraciones, Instrumentacion y Metrologia Acustica, Sistemas Constructivos, Tecnicas Ultrasonicas, Tratamiento de Senales Acusticas, Metodos Numericos en Acustica. There is NO spatial audio, 3D audio, ambisonics, binaural or immersive-reproduction content whatsoever - this is a noise-control / building-acoustics / environmental-acoustics degree. Rank below H-008, which at least sits in an audio-oriented acoustics group."
H-010,H,Master de formacion permanente en Produccion de Musica y Sonido para Experiencias del Entretenimiento (Master in Music and Sound for Entertainment Experiences),"Master propi / titulo propio issued by the Universitat de Barcelona (a certificate only, if the applicant holds no official bachelor's degree)",ENTI-UB - Escola de Noves Tecnologies Interactives (centro adscrito a la Universitat de Barcelona),Private school attached to a public university (centro adscrito),Barcelona,Spain,single_site,Castellano (Spanish),not required,12,60,TBC,A 'Precio' section exists on the programme page but no figure was rendered in the fetched content. Must be requested from ENTI-UB.,no - page states 'Inicio: octubre del 2026',TBC,"TBC - admission is by interview, arranged by email with the academic director",2026 cycle - 2027 TBC,"No minimum prior-study requirement is set ('no hay requisitos minimos de estudios previos'), but an interview with the academic director is mandatory. Recommended profiles include developers, music producers, sound technicians, film students, multimedia artists and composers. Without an official bachelor's degree the award is a certificate rather than a master's title.",yes_explicit,no portfolio; mandatory admission interview,TBC,TBC,none_found,TBC,https://enti.cat/es/area-de-musica/master-en-musica/,https://enti.cat/es/area-de-musica/master-en-musica/,TBC,https://enti.cat/es/area-de-musica/master-en-musica/,PARTIALLY_VERIFIED,W1-H,2026-08-22,"TITULO PROPIO, NOT TITULO OFICIAL - a Universitat de Barcelona own-title master, which matters for both funding eligibility and the Tunisian student visa. No price published. No scholarship found. Spanish-taught.","PARTIAL MATCH - IMMERSIVE AUDIO IS A NAMED COMPONENT INSIDE A GAME/ENTERTAINMENT AUDIO MASTER. FULL DEGREE (own-title). Explicit spatial-audio component: the page names 'Audio inmersivo con Wwise y FMOD', teaches audio for Unity and Unreal, covers music and sound in virtual reality, simulators, theme parks and live shows, and lists 'Especialista en audio 3D' as a graduate career outcome. Recording teaching explicitly addresses 'necesidades timbricas, espaciales, acusticas y esteticas'. AVID Pro Tools 101/110 and Dante network-audio certifications available in-house. This is object-based/game immersive audio rather than ambisonics or WFS. Very strong match for the client's dual software-plus-music profile."
