id,path_letter,program_name,degree_awarded,institution,institution_type,city,country,mobility,language_of_instruction,english_level_required,duration_months,ects,tuition_non_eu_eur_per_year,tuition_notes,intake_2027_confirmed,application_opens,application_deadline,deadline_source_cycle,entry_requirements_summary,accepts_engineering_bachelor,portfolio_or_audition_required,scholarship_available,scholarship_names,scholarship_coverage_level,tunisia_eligible,program_url,admissions_url,funding_url,source_urls,verification_status,verifier_agent,verified_date,red_flags,fit_notes
J-001,J,Master of Arts in Global Entertainment and Music Business (GEMB),Master of Arts (MA) - US NECHE-accredited AND accredited in Spain in collaboration with Universitat Politecnica de Valencia,Berklee College of Music - Valencia Campus,Private music college (US institution; Spanish 'Centro Superior Autorizado de Ensenanzas Artisticas de la Musica'),Valencia,Spain,single_site,English,TOEFL iBT 100 (exams before 21 Jan 2026); IELTS Academic 7.5; Duolingo 130; Cambridge CAE/C1 Business Higher. Waiver if prior degree taught in English,12,60,TBC,"Published in USD only: USD 50,430 tuition for the 3-semester 2026-27 academic year (USD 1,615 per credit). Plus USD 150 application fee; USD 2,500 non-refundable deposit; USD 1,600 comprehensive fee; USD 200-850 software bundle. No EUR figure published - not converted here",TBC,TBC,Early Action 1 Nov; Regular Action 15 Jan; Extended Action 10 Mar. Separate SCHOLARSHIP deadlines: 15 Nov / 1 Feb / 10 Mar,Deadlines listed undated on the page; site content refers to the 2026-27 academic year - 2027 cycle TBC,"Online application + USD 150 fee; statement of purpose 400-500 words in English; CV in English; one professional letter of recommendation; official transcripts; English test; GEMB-specific portfolio = link to a self-produced video (max 1 min) pitching one original product/service/initiative. Programme seeks candidates with executive/managerial goals, prior academic success, prior business knowledge and industry understanding. No music degree required and no degree field is specified",likely,yes - 1-minute self-produced video pitch (no musical audition),yes,"Berklee General Scholarship (amount varies) | Berklee Valencia Diversity Scholarship (up to 50% of tuition) | Berklee Outstanding Women Scholarships with Mentorship (up to 70% of tuition; one per programme incl. GEMB) | Berklee Alumni Scholarship (USD 18,000) | Berklee Global Partners Scholarship (USD 18,000) | Berklee CACSA - Palau de les Arts Scholarships (Valencian students only) | Berklee Groove Scholarship (performance programmes only, not GEMB)",partial,"yes - no nationality restriction stated for the General, Diversity or Outstanding Women scholarships; only CACSA is restricted (Valencian students)",https://valencia.berklee.edu/graduate-programs/gemb/global-entertainment-and-music-business,https://valencia.berklee.edu/graduate-admissions/how-to-apply,https://valencia.berklee.edu/scholarships-financial-aid/scholarships-for-graduate-programs,https://valencia.berklee.edu/graduate-programs/gemb/global-entertainment-and-music-business|https://valencia.berklee.edu/graduate-admissions/how-to-apply|https://valencia.berklee.edu/graduate-admissions/application-deadlines|https://valencia.berklee.edu/tuition-fees-payment/tuition-and-related-costs-for-graduate-programs|https://valencia.berklee.edu/scholarships-financial-aid/scholarships-for-graduate-programs|https://www.berklee.edu/institutional-research-assessment/valencia-spain-campus-accreditation,VERIFIED,W1-J,2026-08-22,"ACCREDITATION IS CLEAN: an official Spanish degree accredited with Universitat Politecnica de Valencia plus a US NECHE degree - unusually strong for a private music school. FUNDING RISK: by far the most expensive programme on this path (USD 50,430 + ~USD 4,250 fees) and combined scholarships are capped at 90% of tuition; even a 50% award leaves ~USD 25k plus USD 10-12k housing. Tuition billed in USD so the EUR cost floats with FX. Scholarship deadlines are EARLIER than the matching programme deadlines","FLAGSHIP of this path. 300-ECTS engineering diploma vastly exceeds any entry bar and the quantitative/business profile matches what they say they select for; no music degree needed. English-taught, 12 months, Valencia. Portfolio gate is a 1-minute business-idea video, NOT a musical audition - so the client's incomplete music portfolio is not a blocker. Apply Early Action (1 Nov) with the 15 Nov scholarship application to maximise the award pool"
J-002,J,Master Universitario en Gestion Empresarial en la Industria Musical (University Master's in Business Management in the Music Industry),TBC - named as 'Master Universitario' (which in Spain denotes a titulo oficial) but NOT confirmed on an official page this session,UNIR - Universidad Internacional de La Rioja,"Private online university (Spanish university, RUCT-registered institution)",Logrono (100% online delivery),Spain,single_site,Spanish,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC - official access page could not be opened,unclear,TBC,TBC,TBC,none_found,TBC,https://www.unir.net/musica/master-gestion-industria-musical/,https://usa.unir.net/musica/master-gestion-industria-musical/acceso/,TBC,https://www.unir.net/musica/master-gestion-industria-musical/|https://usa.unir.net/musica/master-gestion-industria-musical/acceso/,UNVERIFIED,W1-J,2026-08-22,"BLOCKED SOURCE: every unir.net domain returned HTTP 403 (Akamai 'Access Denied') to both WebFetch and curl this session, so NOTHING could be confirmed on the official domain - ECTS, tuition, deadlines and even the titulo oficial status are all TBC and must be re-verified manually. SECOND RISK: UNIR delivers this 100% online; a fully online programme normally does NOT support a Tunisian student visa / Spanish residence permit","Potentially the ONLY official Spanish university master's (titulo oficial) squarely on music business - which would matter enormously for scholarship access and recognition. Worth a manual browser check in Wave 2; if it is oficial and has an on-campus or blended option it jumps up the ranking. As it stands, online-only makes it a poor fit for a relocation-driven client"
J-003,J,Master propi de Management i Produccio Musical (Master's Degree in Music Management and Production),Titulo propio / master propi of ESMUC - NOT an official Spanish degree,ESMUC - Escola Superior de Musica de Catalunya,Public higher music education centre (conservatory),Barcelona,Spain,single_site,Spanish (occasional English from guest speakers),Not required as a test; applicants must read and understand English and be fluent in Spanish,11,60,4692,"EUR 78.20 per credit as published; 60 ECTS x EUR 78.20 = EUR 4,692 for the programme (exact multiplication of the two published figures, not an estimate)",no,2 Feb (round 1),Round 1: 2 Feb - 25 Mar (decision 15 Apr); Round 2: 4 May - 24 May (decision 9 Jun); Round 3: 6 Jul - 6 Sep (decision 6-13 Sep),2026 cycle (course runs Sept 2026 - Jul 2027) - 2027 cycle TBC,Bachelor's degree in music OR any university degree with demonstrated musical skills; CV and motivation letter; possible personal interview; fluency in Spanish and ability to read/understand English,yes_explicit,"flagged - no formal audition, but 'demonstrated musical skills' are required alongside a non-music degree, plus a possible interview",TBC,TBC,none_found,TBC,https://www.esmuc.cat/en/studies/masters-i-postgraus/master-propi-de-management-i-produccio-musical/,https://www.esmuc.cat/en/studies/masters-i-postgraus/master-propi-de-management-i-produccio-musical/,TBC,https://www.esmuc.cat/en/studies/masters-i-postgraus/master-propi-de-management-i-produccio-musical/,VERIFIED,W1-J,2026-08-22,"TITULO PROPIO, not a titulo oficial - no RUCT entry, which restricts public scholarship access and can complicate both the Tunisian student visa and later recognition. Taught in Spanish. Cheapest programme on this path by a wide margin but the award is the weakest","STRONGEST admission signal on this path: the entry rule explicitly reads 'bachelor's in music OR any university degree with demonstrated musical skills' - a 300-ECTS engineering diploma clearly qualifies on the degree side, and the client's DJ/producer practice is exactly the 'demonstrated musical skills' evidence needed. Barcelona (priority city), EUR 4,692 total. Combines management AND production, matching the dual software/music career"
J-004,J,Master de Formacion Permanente en Industria Musical y Estudios Sonoros - MiMeS (Master in Music Industry and Sound Studies),"Master de Formacion Permanente (titulo propio) of Universidad Carlos III de Madrid, 60 ECTS",Universidad Carlos III de Madrid (UC3M),Public university (continuing-education own-title programme),Madrid (Puerta de Toledo campus),Spain,single_site,Spanish,TBC,12,60,5900,"EUR 5,900 for the programme as published for academic year 2026/27",no,TBC,Application shown as CERRADO (closed) for 2026/27; programme runs 15 Sep 2026 to 30 Sep 2027,2026 cycle (2026/27) - 2027 cycle TBC,"University degree; recommended backgrounds listed as Audiovisual Communication, Journalism, Business Administration, Sociology, SOUND ENGINEERING, Art History, Musicology, Advertising and PR, Marketing. Professional experience valued positively",likely,no,no,TBC,none_found,n/a - no scholarship found,https://www.uc3m.es/formacion-permanente/industria-musical-estudios-sonoros,https://www.uc3m.es/formacion-permanente/industria-musical-estudios-sonoros,TBC,https://www.uc3m.es/formacion-permanente/industria-musical-estudios-sonoros,VERIFIED,W1-J,2026-08-22,"TITULO PROPIO (Master de Formacion Permanente), not a titulo oficial - weaker for visa, recognition and public funding. Spanish-taught. No scholarships listed. 2026/27 applications already closed and the 2027/28 calendar is not yet published","The longest-running university music-industry programme in Spain and it explicitly names Sound Engineering among recommended backgrounds - which reads well against a 300-ECTS software/MedTech engineering diploma. Madrid, in-person, EUR 5,900. Fully self-funded: no scholarship route found"
J-005,J,Master en Industria Musical (Master's in Music Industry),"Master de Formacion Permanente (titulo propio) of Universitat de Barcelona, 60 ECTS","IL3 - Institut de Formacio Continua, Universitat de Barcelona",Public university (continuing-education institute),Barcelona,Spain,single_site,Spanish (castellano),TBC,10,60,6020,"EUR 6,020 for the programme, including Universitat de Barcelona administrative fees. 40 weeks, three evenings a week (Mon/Wed/Thu 18:00-21:00)",no,Enrolment open at time of check,TBC - rolling until the cohort fills; course starts 14 Oct 2026,2026 cycle (starts 14 Oct 2026) - 2027 cycle TBC,"University graduates from arts, humanities, social sciences, law OR ENGINEERING; alternatively professionals with 2+ years' sector experience plus a higher-level VET qualification",yes_explicit,no,yes,"10% discounts for members of ARC, APECAT, Academia Catalana de la Musica, ASACC and other sector bodies | alumni and other group discounts (non-cumulative)",partial,no - all discounts are tied to Catalan professional associations or UB alumni status,https://www.il3.ub.edu/master-industria-musical,https://www.il3.ub.edu/master-industria-musical,https://www.il3.ub.edu/master-industria-musical,https://www.il3.ub.edu/master-industria-musical,VERIFIED,W1-J,2026-08-22,"TITULO PROPIO, not oficial. Spanish-taught. SCHEDULE RISK: three evenings a week (18:00-21:00) - a part-time evening timetable may not meet the full-time-study condition of a Spanish student visa for a Tunisian national; must be checked with the consulate. Discounts are all Catalonia-sector or alumni based, so effectively zero funding for this client","Explicitly lists ENGINEERING among the accepted bachelor fields - a rare and clean 'yes' for this client. Barcelona (priority city), EUR 6,020, strong industry orientation (production, management, marketing). Main obstacles are Spanish-language delivery and the evening-only timetable/visa question"
J-006,J,Master de Formacion Permanente en Industria Musical (Master in Music Industry),"Master de Formacion Permanente (titulo propio) of Universidad Autonoma de Madrid, 60 ECTS",Universidad Autonoma de Madrid (UAM) - Centro de Formacion Continua,Public university (continuing-education own-title programme),Madrid (Campus de Cantoblanco),Spain,single_site,Spanish,TBC,8,60,6000,"EUR 6,000 total, paid in two instalments of EUR 3,000 per semester",no,TBC,TBC - programme runs October 2026 to May 2027,2026 cycle (Oct 2026 start) - 2027 cycle TBC,"Official university degree (Grado, Licenciatura, INGENIERIA, Arquitectura, Diplomatura or equivalent), or a foreign qualification of equivalent level; professionals with substantial industry experience may also be admitted; up to 60 ECTS of the bachelor may still be pending",yes_explicit,no,yes,"UAM programme aid - 10% of enrolled students receive support, scored on unemployment status (35%), academic record (35%) and professional connection to the music industry (30%)",partial,"TBC - no nationality restriction stated, but the aid is scored partly on unemployment status",https://www.uam.es/CentroFormacionContinua/nuevo-MFP_industria_musical/1446835293258.htm,https://www.uam.es/CentroFormacionContinua/nuevo-MFP_industria_musical/1446835293258.htm,https://www.uam.es/CentroFormacionContinua/nuevo-MFP_industria_musical/1446835293258.htm,https://www.uam.es/CentroFormacionContinua/nuevo-MFP_industria_musical/1446835293258.htm,VERIFIED,W1-J,2026-08-22,"TITULO PROPIO, not oficial. Spanish-taught. Only 8 months long (Oct-May) - a short programme can be awkward for a 12-month student residence permit. Aid reaches only 10% of the cohort","'Ingenieria' is named explicitly in the access rule, so the 300-ECTS engineering diploma is a clean yes. Strong industry partner list (AGEDI, elrow, Artist Publicist, Pitch Music Marketing, Analog Agency) - elrow in particular is directly relevant to an electronic-music/DJ career. Madrid, EUR 6,000"
J-007,J,Master en Gestion de la Musica en Directo (Master's in Live Music Management),"Titulo propio of Universidad Alfonso X el Sabio, 60 ECTS",UAX - Universidad Alfonso X el Sabio (in collaboration with Live Nation),Private university,Madrid (Campus Chamberi),Spain,single_site,Spanish,TBC,9,60,TBC,Price not published on the programme page; a '25% de ayuda' (25% aid) is advertised for enrolment before 31 August,no,TBC,TBC - 25% early-enrolment aid advertised before 31 August; course starts in October,2026 cycle (October start) - 2027 cycle TBC,"Not published on the programme page (TBC). Presencial, Faculty of Music and Performing Arts, Madrid Chamberi",unclear,TBC,yes,"Ayuda por pronta matricula (early-enrolment aid, 25%) | Becas de excelencia (academic record) | Becas para estudiantes con discapacidad | Becas para deportistas de alto rendimiento (up to 50%) | Becas MEC (Spanish ministry) | Becas OEI (Ibero-American nationals/residents only, 50%) | Becas Senescyt (Ecuadorian nationals only, 50%) | Becas Santander",partial,"partial - Becas OEI, Becas Senescyt and Becas MEC exclude Tunisian nationals; the excellence and early-enrolment discounts carry no stated nationality bar",https://www.uax.com/titulaciones/master-gestion-musica-directo,https://www.uax.com/titulaciones/master-gestion-musica-directo,https://www.uax.com/becas-ayudas-y-financiacion,https://www.uax.com/titulaciones/master-gestion-musica-directo,PARTIALLY_VERIFIED,W1-J,2026-08-22,"TITULO PROPIO, not oficial. PRICE NOT PUBLISHED anywhere on the programme page - a material gap for a funding-first client. Spanish-taught. The two largest named scholarships (OEI 50%, Senescyt 50%) are nationality-restricted and exclude Tunisia","The only dedicated LIVE-music / touring-and-festival business master found in Spain, run with Live Nation and taught by working promoters, producers and ticketing leads - directly relevant to a DJ/electronic-music career. Entry requirements and price both need a direct enquiry"
J-008,J,Master en Industria Musical 360,"Three awards: Master Profesional en Industria Musical (accredited by UDIMA) + Master de Formacion Permanente en Industria Musical, 60 ECTS (accredited by UDIMA) + SAE Diploma Profesional",SAE Institute Spain (SAE Creative Media Education),"Private creative-media academy (awards validated by UDIMA, a private Spanish distance university)",Barcelona and Madrid,Spain,single_site,Spanish (high proficiency in both Spanish and English required),High English proficiency stated as an entry condition; no test score published,12,60,TBC,Price not published on the programme page,no,TBC,TBC - intake October 2026 on both campuses,2026 cycle (Oct 2026 intake) - 2027 cycle TBC,"Age 18+; high Spanish and English proficiency. For the 60-ECTS Master de Formacion Permanente: an official university degree (Grado, Licenciatura, INGENIERIA etc.). Alternative route for the Master Profesional: minimum 2 years' professional experience",yes_explicit,no,TBC,TBC,none_found,TBC,https://www.sae.edu/esp/courses/master-en-industria-musical/,https://www.sae.edu/esp/courses/master-en-industria-musical/,TBC,https://www.sae.edu/esp/courses/master-en-industria-musical/,PARTIALLY_VERIFIED,W1-J,2026-08-22,"PRIVATE ACADEMY AWARD: the 60-ECTS award is a UDIMA titulo propio, not a titulo oficial; the other two awards (Master Profesional, Diploma Profesional) are not university degrees at all - be sure any offer is for the 60-ECTS UDIMA-accredited route or it will not support a student visa. Price not published. Spanish-taught","Uniquely blends 360 music business (artist management, publishing, labels, live, monetisation, business plan) with hands-on audio/production and Ableton/Pro Tools/Cubase certification - the closest single programme to this client's software+producer dual profile. Available in Barcelona (priority city). Engineering degree explicitly accepted for the 60-ECTS route"
J-009,J,MA Cultural Economics and Entrepreneurship,Master of Arts (MA) - NVAO-accredited Dutch research-university degree,"Erasmus University Rotterdam - Erasmus School of History, Culture and Communication (ESHCC)",Public research university,Rotterdam,Netherlands,single_site,English,"IELTS Academic 7.0 overall / 6.5 per section; TOEFL iBT 100 / 23 per section; Cambridge C1-C2 185; LanguageCert 75/70; PTE Academic 75/66. Test-centre only, no online versions, max 2 years old",12,60,21000,"Institutional fee for NON-EEA students in ESHCC master's programmes 2026-2027: EUR 21,000. Statutory (EEA) fee 2026-2027: EUR 2,694",TBC,TBC,1 May (non-EEA); 1 August (EEA) per the admission page,2026 cycle dates published (undated on page); 2027 TBC,"Bachelor's degree from a recognised research university with a good overall result, or an equivalent international qualification; PLUS university-level training in economics, academic training in empirical research methods, and a well-documented interest in / engagement with the cultural sector. A pre-master route exists for applicants who do not match directly",unclear,no,yes,Erasmus Trustfonds Scholarship | Fulbright (US nationals) | LPDP (Indonesia) | StuNed (Indonesia),partial,"TBC - Erasmus Trustfonds nationality rules not confirmed; Fulbright, LPDP and StuNed all exclude Tunisia",https://www.eur.nl/en/master/cultural-economics-and-entrepreneurship,https://www.eur.nl/en/master/cultural-economics-and-entrepreneurship/admission,https://www.eur.nl/en/master/cultural-economics-and-entrepreneurship/fees-and-finances,https://www.eur.nl/en/master/cultural-economics-and-entrepreneurship|https://www.eur.nl/en/master/cultural-economics-and-entrepreneurship/admission|https://www.eur.nl/en/master/cultural-economics-and-entrepreneurship/fees-and-finances|https://www.eur.nl/en/education/practical-matters/registration/tuition-fee/tuition-fee-2026-2027,VERIFIED,W1-J,2026-08-22,"DATE CONFLICT on EUR's own site: the programme overview page states an EEA deadline of 15 May while the admission page states 1 May (non-EEA) and 1 August (EEA) - use the admission page and re-confirm. ENTRY RISK: prior university-level ECONOMICS coursework plus documented cultural-sector engagement are required; a software-engineering diploma supplies the research-methods and quantitative half but not the economics or cultural-sector half - a pre-master may be imposed. Non-EEA fee EUR 21,000 with no confirmed Tunisia-eligible scholarship","The strongest genuinely accredited music/creative-industries ECONOMICS master in the Netherlands - covers streaming economics, cultural markets and entrepreneurship. English-taught, 1 year, NVAO degree. Client's 300 ECTS far exceeds the credit bar; the real gate is subject fit, not level. Ask the admissions office whether engineering-maths plus a documented DJ/producer practice can substitute for the economics prerequisite"
J-010,J,MA Media and Creative Industries,Master of Arts (MA) - NVAO-accredited Dutch research-university degree,"Erasmus University Rotterdam - Erasmus School of History, Culture and Communication (ESHCC)",Public research university,Rotterdam (Campus Woudestein),Netherlands,single_site,English,"IELTS Academic 7.0 / 6.5 per section; TOEFL iBT 100 / 23 per section; Cambridge C1-C2 185; LanguageCert 75/70; PTE Academic 75/66. Test-centre only, max 2 years old",12,60,21000,"Institutional fee for NON-EEA students in ESHCC master's programmes 2026-2027: EUR 21,000. Statutory (EEA) fee 2026-2027: EUR 2,694",TBC,TBC,1 May (non-EEA); 1 August (EEA),2026 cycle dates published (undated on page); 2027 TBC,"Bachelor's degree from a research university IN THE SOCIAL SCIENCES OR HUMANITIES, plus foundational knowledge of media/communication and of social-scientific research methods. Motivation, CV, grades and international background also assessed",no,no,TBC,TBC,none_found,TBC,https://www.eur.nl/en/master/media-creative-industries,https://www.eur.nl/en/master/media-creative-industries/admission,https://www.eur.nl/en/education/practical-matters/registration/tuition-fee/tuition-fee-2026-2027,https://www.eur.nl/en/master/media-creative-industries|https://www.eur.nl/en/master/media-creative-industries/admission|https://www.eur.nl/en/education/practical-matters/registration/tuition-fee/tuition-fee-2026-2027,VERIFIED,W1-J,2026-08-22,"HARD FIELD BAR: admission is explicitly limited to bachelor's degrees 'in the social sciences or the humanities' - a Tunisian software-engineering diploma falls outside the stated field list regardless of its 300 ECTS. Non-EEA fee EUR 21,000, no scholarship named on the programme pages","Logged for completeness of Dutch creative-industries coverage. Content is a good path-J fit (media and creative-industry structures, platforms, cultural production) but the field-of-study bar makes it the weakest realistic option of the two EUR masters for this client. Would require an explicit exception from the Admissions Board"
