source_file,program,institution,city,degree,inst_type,track,language,tuition,scholarship,url
master-all.json,Audio Communication and Sonology — joint master's route,"TU Berlin (Audio Communication Group) + Institute of Sonology, Royal Conservatoire The Hague",Berlin + The Hague,Master's degree,Technical university + conservatoire,Other / adjacent,English emphasised on the Sonology side; 'No German language requirement is explicitly mentioned. The emphasis is on good knowledge of English.' NOTE: this CONTRADICTS TU Berlin's own C1 German rule for the M.Sc. — the contradiction is UNRESOLVED and must be checked with both institutions.,Free,Not stated,https://sonology.org/audio-communication-sonology-admission/ ; https://www.tu.berlin/en/ak/study-and-teaching/degree-programs/audio-communication-and-sonology
master-all.json,Audio Communication and Sonology (joint double-degree master),Technische Universität Berlin together with Royal Conservatoire The Hague,Berlin (year 1) and The Hague (year 2),Double degree: M.Sc. (TU Berlin) and Master of Music (Royal Conservatoire The Hague),Public technical university + public conservatory,Acoustics / audio engineering,"English for the programme, but German at TestDaF TDN 4 is also required for TU Berlin admission (English at IELTS 6.0 / TOEFL iBT 83 minimum)",Free,None specific to the programme found. DAAD scholarships for master's study in Germany are the usual route for Tunisian applicants — UNVERIFIED whether a split-location double degree is eligible.,https://www.tu.berlin/en/ak/study-and-teaching/degree-programs/audio-communication-and-sonology
master-all.json,Master specialisation in Audio Communication & Sonology,Royal Conservatoire The Hague (Institute of Sonology) with TU Berlin,The Hague / Berlin,Master's degree,Public,Other / adjacent,English (TU Berlin component partly German — UNVERIFIED),Free,Not stated,https://www.koncon.nl/en/programmes/master/sonology/masterspecialisation-audiocommsonology/entry-requirements
master-all.json,"Audio Communication and Sonology (double degree with the Institute of Sonology, Royal Conservatoire The Hague)",Technische Universität Berlin – Fachgebiet Audiokommunikation (with Royal Conservatoire The Hague),"Berlin (year 1) + The Hague, Netherlands (year 2)","Double degree, confirmed verbatim: ""a Master of Science from the TU Berlin and a Master of Music in Sonology from the Royal Conservatoire""",Public technical university + partner conservatory (University of the Arts The Hague),Acoustics / audio engineering,"CORRECTED — this is the blocker. The double-degree page states German ""at least on level TDN 4 / TestDaF"" and English ""at least on a level equivalent to the evaluation scales IELTS (6,0) or TOEFL (ibT level 83)"". BUT the parent programme page (Audio Communication and Technology M.Sc.) states: ""The main language of instruction in the Master's programme is German"" and, for applicants with foreign qualifications, German at ""C1 for admission"" plus English at B2. Year 2 in The Hague is English: ""The studies will be conducted in English and applicants are expected to be adequately fluent with the language."" He has zero German.",Under EUR 1.5k/yr,"DAAD Study Scholarships – Master Studies for All Academic Disciplines (open across disciplines; Tunisia is a DAAD partner country with its own Government Scholarships Programme and the KOSPIE scheme for Tunisian engineering/informatics students). Royal Conservatoire ""Excellence Scholarships to Master's candidates who perform best in the entrance exams (both EEA and non-EEA students are eligible for a scholarship)"" — amounts not published. Erasmus+ support for the mobility year: UNVERIFIED. Deutschlandstipendium: UNVERIFIED for this programme.",https://www.tu.berlin/en/ak/study-and-teaching/degree-programs/audio-communication-and-sonology
master-all.json,Advanced Diploma in Music Production & Sound Engineering — Full-time (1 year),"Abbey Road Institute Amsterdam (ARI Education NL — franchise of Abbey Road Studios, London / Universal Music)","Amsterdam (Atlantisplein 1, 1093 NE — inside the Q-Factory music-makers centre)","Advanced Diploma. The course page's key-facts block states plainly: ""Qualification: Advanced Diploma"". No awarding body is named on the Dutch site (the London campus's NCFE accreditation is not claimed for Amsterdam). CORRECTION / NEW FINDING: the Dutch legal status IS published, on the fees page — ""Abbey Road Institute Amsterdam is an approved short vocational education provider in the Netherlands, registered under the name ARI Education NL B.V."" and, in the disclaimer, ""Abbey Road Institute Amsterdam is officially 'short vocational education' and does not entitle study finance. Precisely because of that, our tuition is eligible for tax deduction."" So: recognised as short vocational education, NOT NVAO-accredited higher education, NOT an hbo- or wo-master, no EQF level 7, no CROHO registration.",International chain campus / specialist audio academy — franchise of the Abbey Road Institute network under Abbey Road Studios (Universal Music Group),Music business,English,Under EUR 1.5k/yr,"None. No scholarship or bursary is offered. The only cost relief mentioned is a Dutch income-tax deduction, and the page states explicitly that the programme ""does not entitle study finance"".",https://abbeyroadinstitute.nl/courses/diploma-music-production-sound-engineering
master-all.json,"Producer Professional Course (20 sessions), Producer Basic, Producer Custom, plus DJ courses",DJ School Amsterdam,Amsterdam,Not a degree,Private DJ/producer school — commercial lesson provider,Sound design / production,ENGLISH — course pages are published in English (?lang=en) and the school explicitly caters to international visitors. This makes it one of only three genuinely English-accessible private options in this slice (with SAE and Abbey Road).,Under EUR 1.5k/yr,Not stated,https://djschoolamsterdam.nl/producer_courses/?lang=en ; https://www.djschoolamsterdams.com/producer/producer-professional-course/?lang=en
master-all.json,"Producer Professional Course (20 x 60-min individual sessions + 10 studio hours); also Producer Basic, Producer Custom, Producer Junior, Intro Lesson, DJ courses",DJ School Amsterdam,"Amsterdam (also Lelystad, and online)",Not a degree,Private DJ/producer school — commercial one-to-one lesson provider,Sound design / production,"ENGLISH — CONFIRMED. The course pages serve a full English version (?lang=en) alongside Dutch, and the school explicitly builds custom schedules for international visitors. One of only three genuinely English-accessible private options in this slice (with SAE and Abbey Road).",Under EUR 1.5k/yr,Not stated,https://djschoolamsterdam.nl/producer_courses/?lang=en ; https://djschoolamsterdam.nl/producer/producer-professional-course/?lang=en
master-all.json,Master of Music – Pop / Creator Performer,Fontys Academy of Music and Performing Arts (Fontys Hogeschool voor de Kunsten),Tilburg,Master of Music (MMus),University of applied sciences / academy of music,Sound design / production,English,Under EUR 1.5k/yr,NL Scholarship – Fontys University of Applied Sciences is a listed participating institution for 2026-2027,https://www.fontys.nl/en/Programmes/Music-master-full-time.htm
master-all.json,DJ Certificate (1 month),SAE Institute Amsterdam,Amsterdam (Amsterdam-Noord creative district),Not a degree,International chain campus — specialist audio academy (SAE global network),Music business,English,Under EUR 1.5k/yr,Partial,
master-all.json,"Mundus Journalism — Journalism, Media and Globalisation (Erasmus Mundus Joint Master)","Consortium: Aarhus University (coordinator) + second-year specialisation partners (Amsterdam, London, Munich,…",,Master's degree,Consortium (public universities),Media/Communication (Business track-2 adjacent),English,EUR 1.5k-5k/yr,Erasmus Mundus Joint Masters Scholarship,https://mundusjournalism.com/ (admissions: https://mundusjournalism.com/admissions/tuition-stipends-and-scholarships)
