Program,University,Country,Region,Track,Funding,Fit score,Admission difficulty,Why (difficulty),Language,Portfolio?,Tunisian eligible?,Verified,Deadline status,Scholarship,Stipend / coverage,Tuition (intl),Application opens,Deadline,Fit notes,Source URL,Multi-country?,Entry requirements,Public/Private,All countries (raw),Funding detail (raw),Verification notes
Master Mind Scholarship - cross-cutting funding for Flemish entries above,"Flemish higher education institutions (universities, schools of arts) - Government of Flanders",Belgium,Europe,Sound & Music Tech,Full,100,Green,Technical program — an engineering background is the expected profile,English,No,Yes,Verified,Confirm 2027 date,Master Mind Scholarship,"EUR 10,225 grant per academic year + tuition-fee waiver (host may charge max EUR 136.50), for 1 year (60 ECTS) or 2 years (120 ECTS); NOT cumulable with Erasmus+, Erasmus Mundus, BAEF, Fulbright or other Flemish Government scholarships",n/a (host institution may charge a capped administrative tuition fee of max EUR 136.50 for 2026-27),Expected early 2027 for Sept 2027 - UNVERIFIED (official page publishes no future-call dates),PRIOR CYCLE - confirm new date (official page: 'the call for the academic year 2026-2027 is now closed'; 2027-28 call dates not yet published - expect spring 2027),THE flagship funded route in this slice: pair with KASK Ghent Music Production (English) for a fully-funded production-focused master. Two action items for the candidate: secure GPA-equivalence at 3.5/4.0 and take an English test before the call (proof must be <3 years old). Non-cumulation with Erasmus Mundus confirmed on official page.,https://www.studyinflanders.be/scholarships/master-mind-scholarships,No,GPA >= 3.5/4.0 on last obtained degree; good knowledge of English with proof no older than 3 years at processing time (candidate must take IELTS/TOEFL-type test); previous degree NOT from a Flemish institution; not already enrolled in Flanders; max 20 nominations per institution,Public (Government of Flanders),Belgium,Full (near-full),"Confirmed on official studyinflanders.be pages: EUR 10,225/yr + tuition waiver (max EUR 136.50 admin fee), 60/120 ECTS duration, GPA 3.5/4.0, all nationalities except Russian, previous degree not Flemish, English proof <3 yrs, non-cumulation list, 2026-27 call closed. Priority-reserved spots exist for Japan/Mexico/Palestine/USA but the scheme is open to Tunisians. Future call dates not published."
Master of Music: Music and Technology (Live Electronics / Computer Music Composition / Hybrid Performance),Koninklijk Conservatorium Brussel (Erasmushogeschool Brussel),Belgium,Europe,Sound & Music Tech,Full,100,Red,Live audition — assumes performance training,English,Yes,Yes,Verified,Confirm 2027 date,"Master Mind Scholarship (Government of Flanders, outstanding non-EU master students)","EUR 10,225/yr grant + tuition fee waiver (Master Mind, confirmed for 2026-27 cycle); 1 yr for 60-ECTS master, 2 yrs for 120-ECTS","EUR 17,501.40/yr for non-EEA students in artistic programmes (2026-27 EhB rates: EUR 1,181.40 fixed fee + EUR 272/credit x 60) - MUCH higher than earlier 1k-9k estimate","PRIOR CYCLE - 2026 music admission-test registration closed ~Apr 17-29, 2026; tests ran May 13-22, 2026. Expect similar spring window for Sept 2027","PRIOR CYCLE - confirm new date (2026 cycle: registration by late Apr 2026, exams May 2026; Master Mind host-institution deadlines fell Feb 1-Apr 1, 2026 with VLUHR cutoff Apr 27, 2026)","Ableton/Max-centric live-electronics master - artistically ideal for a DJ/producer, but two hard gates: master-level entry presumes bachelor-level music-tech foundations (KCB may route him into an accelerated bachelor first), and non-EEA tuition is a steep EUR 17.5k/yr, making Master Mind essentially mandatory",https://www.kcb.be/en/Programmes/Music/Music-and-Technology,No,"Confirmed on official page: 3-part artistic entrance exam - (1) portfolio (CV, audio, video, scores, Max patches, Ableton Live sessions), (2) live computer-performance demonstration at KCB, (3) interview on portfolio/background/motivation. Page warns direct access to the master is not automatic; an accelerated bachelor may be required first to build foundations",Conservatory,Belgium,Full (only if Master Mind won) / otherwise None,"Program, three specializations, and full entrance-exam structure confirmed on official KCB page. Non-EEA artistic-programme tuition confirmed on EhB tuition page for 2026-27 (EUR 17,501.40/yr) - corrects the earlier vague 1k-9k estimate upward substantially. Master Mind amount (EUR 10,225 + waiver) and non-EU eligibility confirmed via studyinflanders.be/scholars4dev for 2026-27; EhB-specific participation not individually confirmed. Language of instruction and master-specific application dates not on page; contact secretariaat.kcb@ehb.be"
MSc Medialogy,"Aalborg University (AAU), Aalborg or Copenhagen",Denmark,Europe,Sound & Music Tech,Full,100,Green,Technical program — an engineering background is the expected profile,English,No,Yes,Verified,Date published,"Danish Government Scholarship via AAU (~15/yr across all programmes, automatic consideration - no separate application)","Full tuition waiver + DKK 11,225 / EUR 1,503 per month stipend for 4 semesters (2026 rate, confirmed on AAU finance-and-fees page); AAU warns not to rely on it - only ~15 awarded per year","DKK 57,850 / EUR 7,745 per semester - AAU finance-and-fees page explicitly lists Medialogy (both Copenhagen and Aalborg) in the engineering/technical tier",Application portal opens early-to-mid January (AAU official page; corrected from 'mid-December'),"1 March for September intake (AAU standing deadline, confirmed on official how-and-when-to-apply page - confirm it holds for Sept 2027)",Broader media-tech alternative to the SMC specialisation at the same university; SMC is formally a specialisation within Medialogy CPH. Good backup with the same funding scheme.,https://www.en.aau.dk/education/master/medialogy,No,"Relevant recognised bachelor's equivalent to a Danish 180-ECTS bachelor + programme-specific requirements + AAU-approved English test (IELTS/TOEFL - candidate must take one); 2-year problem-based programme on interactive digital systems (apps, VR, games, IoT, physical interfaces); Medialogy-specific bachelor-field requirements not itemised on the public page - check the programme's admission-requirements section",Public,Denmark,Full (competitive),"Confirmed on official AAU pages: programme exists in Aalborg + Copenhagen, English-taught, 2-year MSc; tuition DKK 57,850/semester explicitly listed for Medialogy (engineering tier); Danish Government Scholarship ~15/yr with tuition waiver + DKK 11,225/month (2026 rate) for 4 semesters, automatic consideration for all non-EU applicants; 1 March deadline for September intake. Correction: portal opens early-to-mid January, not mid-December. Medialogy-specific entry-requirement details (qualifying bachelor fields, exact test scores) not itemised on fetched pages - Check."
EDISS — Engineering of Data-intensive Intelligent Software Systems (Erasmus Mundus Joint Master),"Consortium: Åbo Akademi University (coordinator, Finland), Mälardalen University (Sweden), University of the Balearic Islands (Spain), University of L'Aquila (Italy)",Finland,Europe,Sound & Music Tech,Full,100,Green,Officially accepts computer/computational science degrees,English,No,Yes,Verified,Confirm 2027 date,Erasmus Mundus Joint Masters Scholarship (plus EDISS scholarships and tuition-fee-waiver scholarships),"Confirmed on official scholarship page (Intake 6, 2026-2028): EMJM = €1,400/month + participation costs (€9,000/yr) fully covered + health insurance; total value €51,600 over 2 years; open to all nationalities; cannot combine with other EU-funded scholarships. Also: EDISS scholarship (€800/mo yr1, €310/mo + Erasmus+ mobility grant yr2; €31,320 total) and tuition-fee-waiver-only awards (€18,000).","€9,000/yr participation cost (covers tuition, insurance, winter school, orientation, support) — waived for scholarship holders","3 Nov 2025 for prior intake; next ~Nov 2026 (expected, UNVERIFIED)",PRIOR CYCLE - confirm new date (6th intake closed 8 Jan 2026; 7th intake dates not yet published — expected ~Nov 2026-Jan 2027),"Pure software-engineering fit (ML + data + distributed systems); fully funded and SE degree explicitly accepted. Not audio/music — include only as a strong CS fallback/credential, not toward the DJ/producer goal. Note IELTS 6.5 required (candidate has not yet taken a test).",https://www.master-ediss.eu/ (scholarships: https://www.master-ediss.eu/scholarship/; admission: https://www.master-ediss.eu/admission-requirements/),Yes,"Bachelor's (>=180 ECTS) in computer science, software engineering (explicitly acceptable) or related; TOEFL iBT >=93 or IELTS Academic >=6.5 (no component below 6); exemptions for English-medium degrees from listed countries",Consortium (public universities),Finland / Sweden / Spain / Italy,Full,"CONFIRMED on official pages: program exists; €1,400/mo EMJM stipend + €9,000/yr participation covered + health insurance, all nationalities eligible; SE bachelor explicitly acceptable; TOEFL 93 / IELTS 6.5 (min 6 per component). Three scholarship tiers documented. 7th-intake dates not yet published — prior-cycle deadline (8 Jan 2026) labeled accordingly."
IMLEX — Imaging and Light in Extended Reality (Erasmus Mundus Joint Master of Science),"Consortium: University of Eastern Finland (coordinator), Université Jean Monnet (France), KU Leuven (Belgium), Toyohashi University of Technology (Japan)",Finland,Europe,Sound & Music Tech,Full,100,Green,Officially accepts computer/computational science degrees,English,No,Yes,Verified,Confirm 2027 date,Erasmus Mundus Joint Masters Scholarship,"Confirmed: EUR 1,400/month subsistence for the entire programme duration + participation costs (tuition, library, lab) + full insurance; same total for EU and non-EU students. Cannot hold a second EU grant concurrently.","EUR 9,000/academic year consortium fee for non-EU/EEA/Swiss students (partial or full waivers possible for top applicants; fully covered for scholarship holders); no fee for EU/EEA students","15 Dec 2025 for prior (2026) cycle — confirmed; 2027 cycle UNVERIFIED, expected ~Dec 2026","PRIOR CYCLE - confirm new date (2026 intake closed 21 Jan 2026, 3pm EET, via Studyinfo portal; 2027 intake expected to open ~Dec 2026)","Computing-heavy XR/imaging — excellent leverage for the software-engineering degree but visual, not audio; tangential to the DJ/producer goal. Include only if candidate broadens to interactive/immersive media tech. Japan mobility. Note higher English bar (IELTS 6.5 / TOEFL 92) than ReSound.",https://www.imlex.org/ (admission: https://www.imlex.org/how-to-apply/admission-criteria/),Yes,"Bachelor's (>=180 ECTS) in IT, Computer Science, Physics, Mathematics, Electronic Engineering, Photonics or related; TOEFL iBT 92 / IELTS Academic 6.5 / PTE 62 (certificates valid 2 years; exemptions for English-medium degrees in EU/EEA and listed anglophone countries); 2 recommendation letters, motivation letter, CV. ~25 students selected per intake.",Consortium (public universities),Finland / France / Belgium / Japan,Full,"All key facts confirmed on imlex.org (admission-criteria and fees-and-scholarships pages): degree fields and 180 ECTS; exact English thresholds; prior-cycle window 15 Dec 2025 - 21 Jan 2026 3pm EET; ~25 seats; EUR 1,400/month scholarship + participation costs + insurance (corrects previous UNVERIFIED amount); EUR 9,000/yr non-EU fee with possible waivers (corrects previous UNVERIFIED tuition); global eligibility. Only 2027-cycle dates remain unpublished."
"DIGICREA — Digital Creativity, Art & Science (Erasmus Mundus Joint Master)","Consortium: Université Jean Monnet Saint-Étienne (coordinator), University of Silesia in Katowice, Universidade Católica Portuguesa (Porto)",France,Europe,Sound Design / Production,Full,100,Green,"Open entry — a bachelor's in any subject, no field restriction named",English,Yes,Yes,Verified,Confirm 2027 date,Erasmus Mundus Joint Masters Scholarship,"Confirmed: EUR 1,400/month for 24 months (max EUR 33,600), paid to student's bank account; covers travel, visa, installation and subsistence. Conditional on full-time enrollment and adequate academic performance.","CORRECTED: non-scholarship (self-funded) students pay NO tuition fees, but must provide a documented Guarantee of full financial support for living costs before enrollment","14 Nov 2025 for prior (2026-2028) cohort — confirmed; 2027 cohort ~Nov 2026 (expected, UNVERIFIED)",PRIOR CYCLE - confirm new date (2026-2028 cohort closed 16 Feb 2026 via eCandidat; 2027-2029 cohort expected to open ~Nov 2026),"Strong fit — art/tech/science intersection with an explicit Sound-Music specialisation (compositions, sound design, music portfolio accepted); CS/software background is a real asset. Even without the scholarship there is no tuition fee. Starts in France, then Poland/Portugal. Needs a 3-5 piece portfolio of music/sound work.",http://master-digicrea.univ-st-etienne.fr/en/index.html,Yes,"Bachelor's (min 180 ECTS); English B2 minimum, C1 recommended (accepted evidence: IELTS 6, TOEFL iBT 90+, or 100% English-taught degree); 2 recommendation letters; Europass CV in English; competitive selection with interview.",Consortium (public universities),France / Poland / Portugal,Full,"Confirmed on official univ-st-etienne.fr pages (how-to-apply, financial-aid): consortium partners; EUR 1,400/month x 24 months scholarship and coverage; zero tuition for self-funded students (corrects previous UNVERIFIED tuition — only a financial guarantee is required); portfolio 3-5 works max 5 years old incl. Sound-Music option; B2/C1 English with IELTS 6 / TOEFL 90 benchmarks; 180 ECTS bachelor; prior-cycle dates 14 Nov 2025 - 16 Feb 2026. Only 2027-cycle dates remain unpublished."
"DIGICREA — Erasmus Mundus Joint Master in Digital Creativity, Art & Science","Jean Monnet University Saint-Étienne (coordinator), Universidade Católica Portuguesa, University of Silesia in Katowice",France,Europe,Sound & Music Tech,Full,100,Green,"Open entry — a bachelor's in any subject, no field restriction named",English,Yes,Yes,Verified,Confirm 2027 date,Erasmus Mundus Joint Master (EMJM) scholarship,"EUR 1,400/month for the full 24-month programme (max EUR 33,600), intended to cover travel, visa, installation and living costs; limited number of EMJM scholarships per cohort (the ~75% share could NOT be confirmed on the official page).",No tuition fees charged to any student — official financial-aid page states scholarship holders AND non-scholarship holders pay no tuition,November 2026 for the 2027-2029 cohort (per official site: 'the next cohort (2027-2029) will open in November 2026'),2026-2028 call closed 16 Feb 2026 — PRIOR CYCLE - confirm new date when Nov 2026 call opens for the 2027-2029 cohort,"Strong fit: explicitly covers sound, music, audio-visual new media, AI and XR at the art/tech/science intersection — leverages the CS/software background while building creative production skills. Zero tuition even without scholarship makes it a low-risk fallback.",https://master-digicrea.univ-st-etienne.fr/en/join-digicrea/how-to-apply.html,Yes,"Bachelor (180 ECTS; candidates with 150+ ECTS at application may apply with sworn statement to complete 180 before start); certified English B2 minimum, C1 recommended (IELTS 6, TOEFL iBT 90, TOEFL ITP 550, TOEIC 650; degree taught in English also accepted); portfolio of 3-5 artistic works not older than 5 years with title/description/public links (Sound-Music specialization accepts compositions and sound design); motivation letter.",Consortium,"France, Portugal, Poland",Full,"Official how-to-apply + financial-aid pages confirmed on 13 Jul 2026: 180 ECTS entry, English B2/C1 tests, 3-5 work portfolio, EUR 1,400/month EMJM stipend for 24 months, and — correction to prior entry — NO tuition fees for scholarship or non-scholarship students. 2026-2028 call opened 14 Nov 2025 / closed 16 Feb 2026; next call (2027-2029, matches Sept 2027 target) opens Nov 2026. The '~75% of admitted students funded' figure was not confirmed (official page says only 'a limited number per cohort'). Tunisian eligibility not restricted anywhere; EMJM is open worldwide."
DAAD Study Scholarships – Master Studies for All Academic Disciplines,DAAD (German Academic Exchange Service),Germany,Europe,Sound & Music Tech,Full,100,Green,Accepts a bachelor's in any field,English,Check,Yes,Verified,Date published,DAAD Study Scholarship – Master Studies for All Academic Disciplines,"EUR 992/month stipend + health/accident/liability insurance + travel allowance (on application) + EUR 460 ANNUAL study allowance; possible rent subsidy, family allowance, funded German course (2-6 months) and language-test fee reimbursement. Does NOT cover tuition fees (most German public masters are tuition-free anyway). Funds 10-24 months.","N/A (scholarship, not a program); DAAD explicitly does not pay tuition fees",1 June (confirmed on official page: 'Applications for this scholarship programme are possible between 1 June and the stated application deadline') — the window for the Oct-2027 start should be open NOW (July 2026),"Country-specific, set via DAAD portal (deadlines updated annually in Q2; for Tunisia typically autumn). Current cycle funds masters starting winter semester 2027 — i.e., the candidate's Sept/Oct 2027 intake. Confirm exact Tunisia deadline on the DAAD portal/Tunis office.","Best general funding vehicle for the candidate: EUR 992/month full package can fund any German audio/music-tech or business master (e.g., TU Berlin below). CRITICAL TIMING: the current call (opened 1 June 2026) funds programmes starting winter 2027 — exactly the target intake — so the candidate should act now: take IELTS/TOEFL, pick programmes, and check the Tunisia deadline immediately.",https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=50026200,No,First degree (Bachelor) completed by funding start; most recent degree normally no older than 6 years at deadline; not resident in Germany >15 months; must secure/pursue admission to the German host programme yourself (admission letter can follow before funding starts); 1 letter of recommendation; proof of language of instruction; funding must begin in 2027 (usually 1 Oct 2027).,Public,Germany,Full,"Official DAAD database page read in full (via firecrawl; page 503s to plain fetch). CONFIRMED: EUR 992/month, insurance, travel allowance, EUR 460/year study allowance (correction: annual, not one-off), rent/family subsidies, funded German course, no tuition coverage, 10-24 months, degree ≤6 years old, <15 months residence in Germany, applications open 1 June, funding must begin 2027 (usually 1 Oct 2027). NOT on page: the Tunisia-specific deadline (shown only via the portal's country selector) — candidate must confirm it. Tunisian eligibility inferred from worldwide scope + country-deadline mechanism; no country exclusion list shown."
MSc in Sound and Music Technologies (Technologies Ichou kai Mousikis),"Hellenic Mediterranean University (ELMEPA/HMU), Dept. of Music Technology & Acoustics, Rethymno, Crete",Greece,Europe,Sound & Music Tech,Full,100,Green,Officially accepts computer/computational science degrees,English,No,Yes,Verified,Date published,None found (tuition-free by design; students hold scholar status and support department teaching),None - living costs self-funded (Rethymno is low-cost),EUR 0 - official 2026-27 call confirms 'den apaiteitai i katavoli telous foitisis' (no tuition fee required),27 April 2026 (2026-27 call),7 September 2026 - 2026-27 intake OPEN NOW (window 27 Apr - 7 Sep 2026 via morpheus.hmu.gr); 2027-28 call expected ~April 2027,"TOP FIND confirmed: zero-tuition DSP/ML-for-music MSc that explicitly welcomes foreign engineering graduates, interview-based (remote possible), and the 2026 intake is still open until 7 Sep 2026 - but the candidate needs a B2 English certificate to file, and instruction language plus TaxisNet application access must be confirmed with the department first",https://mta.hmu.gr/en/postgraduate/msc-in-sound-and-music-technologies/,No,"Verified from 2026-27 call: degrees in sciences, engineering/polytechnic, music technology, music studies, audiovisual arts etc. (software engineering fits 'Polytechnic Schools' category); documents: ID/passport, CV, degree + transcript, ENGLISH B2 CERTIFICATE (mandatory - candidate must obtain one), 2 recommendation letters, 1-page statement of interest, optional publications/experience; selection includes personal interview (can be remote); 3 semesters full-time (8 courses + thesis, 90 ECTS: audio DSP, audio programming, acoustics, sound synthesis, applied ML for sound/music, sound & motion, optoacoustics); physical presence in Rethymno required; max 15 students/yr",Public,Greece,Full (tuition-free; no stipend),"Full official 2026-27 call PDF (mta.hmu.gr, PROSKLISI_PMS_2026_27) read directly: dates, zero fee, 15-student cap, eligibility incl. foreign graduates, document list, interview all confirmed. Two caveats: (1) instruction language not explicitly stated - Greek-language call suggests Greek or mixed delivery despite English program page; (2) online portal requires TaxisNet (Greek tax) login - foreign applicants must arrange submission with secretariat."
"MA in Music (Classical Performance, Composition, Conducting; also jazz/folk majors; postgraduate Piano Soloist)",Liszt Ferenc Academy of Music (Liszt Academy),Hungary,Europe,Sound & Music Tech,Full,100,Red,Requires a Bachelor of Music — you don't have one,English,Yes,Yes,Verified,Confirm 2027 date,Stipendium Hungaricum (Liszt Academy confirmed host institution),Full tuition waiver + monthly stipend + housing support/dormitory + health insurance (per SH scheme),"UNVERIFIED on official page (third-party sources cite ~EUR 2,100/semester); waived entirely for Stipendium Hungaricum holders",PRIOR CYCLE: SH 2026/27 application was open in the prior cycle; expect ~Nov 2026 opening for Sept 2027,PRIOR CYCLE - confirm new date (SH main deadline was ~15 Jan 2026 for 2026/27; Liszt Academy credit-recognition + language certificates due 31 March 2026),"World-famous conservatory, fully fundable via SH, and Tunisia is an eligible SH country — but the majors are classical, jazz, folk, conducting, composition and pedagogy; there is NO sound engineering / music-technology / electronic-production track. A DJ/producer without formal classical or jazz conservatory training is very unlikely to pass the audition; include only as a prestige long-shot.",https://uni.lisztacademy.hu/application/full-time-and-non-degree-programmes-109988,No,Bachelor's in music (preliminary credit recognition required for MA); audition; TOEFL/IELTS/Cambridge certificate required for SH applicants,Public,Hungary,"Full (via Stipendium Hungaricum, for BA/MA and postgraduate Piano Soloist)","Confirmed: Tunisia is a Stipendium Hungaricum partner country (stipendiumhungaricum.hu/country/tunisia) and Liszt Academy is a confirmed SH host offering BA, MA and postgraduate Piano Soloist studies. Majors confirmed on official pages: all classical instruments, singing/opera, jazz and folk music, orchestral/choral conducting, music pedagogy, composition — there is NO music-technology / sound-engineering / electronic-production program (the 'Sound/Music-Tech' track label is a mismatch; this is a performance conservatory). SH funding confirmed (full tuition waiver + monthly stipend + housing + insurance). 2026/27 SH deadlines were ~15 Jan 2026 (main) and 31 March 2026 (Liszt Academy credit-recognition/language docs) — prior cycle; expect ~Nov 2026 opening and ~Jan 2027 deadline for the Sept-2027 intake. Portfolio (video) + in-person Budapest audition and an English certificate (IELTS/TOEFL — not yet held by candidate) are required. Official tuition figure not exposed on the page."
