institution,programme_name,path_codes,spring_intake,start_month,start_date_verbatim,intakes_per_year,other_intakes,application_deadline_for_spring_intake,official_status,ruct_code,modality,language_of_instruction,tuition_total_eur,url,evidence_verbatim,notes,_verdicts_seen,_disagreement,_slices,_times_checked
"CEI — Centro de Estudios de Innovación (escuela privada de diseño y tecnología, grupo Omnes Education; sedes Madrid, Sevilla, Valencia)",Máster en Big Data e Inteligencia Artificial (IA),AA | AB,YES,January (also April and June),"«Existen cuatro convocatorias o fechas de inicio anuales: Octubre, Enero, Abril y Junio.» — «Próximo inicio (entre semana): 13 de octubre de 2026 o 18 de enero de 2027»",4,"October (autumn), June","NOT FOUND — page states rolling admission by convocatoria, no published closing date",título propio (school's own certificate). Page offers a paid add-on 'diploma universitario' from UDIMA or Sabal University (Florida); NOT a máster universitario oficial in its own right,,"100% presencial, 100% online o blended (Madrid, Sevilla, Valencia); online classes delivered live and recorded",Spanish,"EUR 4,250 (matrícula incluida) — rates as displayed August 2026; discounts up to 40% advertised",https://cei.es/cei-curso/master-en-big-data-inteligencia-artificial-ia/,"Existen cuatro convocatorias o fechas de inicio anuales: Octubre, Enero, Abril y Junio. / Próximo inicio (entre semana): 13 de octubre de 2026 o 18 de enero de 2027. / 360 horas (6-7 meses).","PROVIDER TYPE THE OTHER SLICES WOULD MISS: private design/tech academy, not a university and not a business school. The four dated intakes are genuine COHORT STARTS (the page prints an actual start date, 18 Jan 2027), not application rounds. Título propio — no PhD access, no public funding, and the 300-ECTS advanced-standing question is moot. Short (6-7 month, 360h) format, so this is a reskilling certificate rather than a 60-90 ECTS master. Not among the 93 institutions in output/programmes.jsonl.",YES,,national-sweep,1
"CEI — Centro de Estudios de Innovación (escuela privada, grupo Omnes Education)",Máster en Big Data Online,AB,YES,"January, April, June","«Existen cuatro convocatorias o fechas de inicio anuales: Octubre, Enero, Abril y Junio.»",4,October (autumn),NOT FOUND,título propio; optional paid 'máster universitario' route via UDIMA or Sabal University (USA) — the CEI title itself is not ANECA-verified and is not in RUCT,,"100% online, clases en directo (on live) que quedarán grabadas",Spanish,"EUR 4,250 (matrícula incluida) — as displayed August 2026",https://cei.es/cei-curso/master-big-data-online/,"Existen cuatro convocatorias o fechas de inicio anuales: Octubre, Enero, Abril y Junio. / 360 horas (6-7 meses) / 100% online, mediante clases en directo (on live) que quedarán grabadas.","Online sibling of the CEI Big Data e IA master, same four-intake calendar. Three of the four intakes (Enero, Abril, Junio) fall in the Jan-Jun window the brief asks about. Título propio. Institution absent from output/programmes.jsonl.",YES,,national-sweep,1
"CEI — Centro de Estudios de Innovación (escuela privada, grupo Omnes Education)",Máster en Inteligencia Artificial (IA) Online,AA,YES,January (18 Jan 2027 dated); also April and June,"«Próximo inicio (entre semana): 13 de octubre de 2026 o 18 de enero de 2027»; annual intake months October, January, April and June",4,October,NOT FOUND,"título propio; optional paid 'university expert diploma' from Sabal University (USA). Not a máster universitario oficial, not in RUCT",,"100% online, clases en directo (on live) que quedarán grabadas",Spanish,"EUR 4,250 (matrícula incluida) — as displayed August 2026",https://cei.es/cei-curso/master-inteligencia-artificial-ia-online/,"Próximo inicio (entre semana): 13 de octubre de 2026 o 18 de enero de 2027. 360 horas (6-7 meses). 100% online, mediante clases en directo (on live) que quedarán grabadas. 4.250 € (matrícula incluida).","Third CEI programme on the same four-intake calendar; 18 January 2027 is a printed cohort start date, not an application round. Título propio, 360 hours — not ECTS-bearing, no PhD access, no public funding.",YES,,national-sweep,1
"CEI — Centro de Estudios de Innovación (escuela privada, grupo Omnes Education; Madrid, Sevilla, Valencia + online)","Máster Avanzado en Inteligencia Artificial, Cloud Computing y Big Data",AC | AA | AB,YES,January (18 Jan 2027); also April and June,"«Próximo inicio: 13 de octubre de 2026 o 18 de enero de 2027»; four annual cohorts — October, January, April and June",4,October,NOT FOUND,"título propio; optional paid university diploma from Sabal University (USA) or UDIMA. Not ANECA-verified, not in RUCT. FUNDAE-bonificable for employed workers",,"100% presencial, 100% online o blended (Madrid, Sevilla, Valencia); online classes live and recorded, recordings available 90 days after completion",Spanish,"EUR 6,100 (matrícula incluida) — as displayed August 2026; discounts up to 40% advertised",https://cei.es/cei-curso/master-inteligencia-artificial-cloud-big-data/,"Próximo inicio: 13 de octubre de 2026 o 18 de enero de 2027. 540 horas (10 meses). 100% presencial, 100% online o blended. 6.100 € (matrícula incluida). Certificaciones: Microsoft AZ-900, AWS Certified Cloud Practitioner, Google Cloud, Python PCAP.","NOTABLE FOR PATH AC: cloud/DevOps is the rarest of the nine fields as a standalone master, and this is a spring-start programme squarely in it, bundled with AWS/Azure/GCP certification prep — the 'cert + master hybrid' the AGENT-BRIEF flags as worth hunting. Fourth CEI title on the same four-intake calendar; 18 January 2027 is a printed cohort start. Título propio, 540 hours, Spanish-only.",YES,,national-sweep,1
"DIGITECH FP (centro oficial de Formación Profesional, online) — PROVIDER TYPE: FP CENTRE MARKETING A 'MÁSTER'",Máster FP Online en Python (desarrollo de aplicaciones con Python),AA | AB,YES,February,«Convocatoria febrero 2026» — «el lanzamiento del nuevo Ciclo Superior en Desarrollo de Aplicaciones Web (DAW)» y «la apertura del Máster FP Online en Python». «Iniciar en febrero significa ganar medio año.»,"2 implied (February and September) — the page contrasts a February start with September but does not state 'dos convocatorias' in so many words, so 2 is recorded as IMPLIED, not verbatim",September,NOT FOUND,"OFFICIAL IN THE FP REGISTER, NOT A UNIVERSITY MASTER. Spanish law calls this a Curso de Especialización de Formación Profesional; 'Máster de FP' is marketing shorthand. It is NOT a máster universitario, is NOT in RUCT, sits at MECES level 5 (higher VET) not level 7, and gives no PhD access and no access to university-master funding.",,Online / a distancia — «el único centro oficial de FP que imparte esta formación a distancia en España»,Spanish,NOT FOUND,https://digitechfp.com/blog/fp-online/convocatoria-febrero-2026-comienza-tu-fp-online-en-digitech/,"Convocatoria febrero 2026 … la apertura del Máster FP Online en Python … formación oficial y pionera que solo DIGITECH imparte en esta modalidad en España … el único centro oficial de FP que imparte esta formación a distancia en España … 430h, aproximadamente 4 meses … Iniciar en febrero significa ganar medio año.","EXACTLY THE PROVIDER TYPE THE PROMPT ASKED ME TO SURFACE: an FP centre advertising a 'máster' with a February convocatoria. The February start is GENUINE (the page contrasts it with waiting for September). BUT IT IS THE WRONG QUALIFICATION FOR THIS CANDIDATE, for two independent reasons: (1) entry is aimed at «titulados en ASIR, DAM o DAW» — Spanish FP higher-technician holders — not at a 300-ECTS engineering graduate, for whom this would be a step DOWN in level, not sideways; (2) at 430 hours / 4 months and MECES level 5 it cannot substitute for a máster universitario and would not support a postgraduate route. RECORDED AS A WARNING AS MUCH AS A FIND: the whole FP sector runs September/February double convocatorias, so a keyword sweep for 'máster inicio febrero' returns a large volume of FP results that look like master's programmes and are not. Cesur FP and UNIVERSAE surfaced in the same search with the same September/February pattern and were not pursued for the same reason.",YES,,national-sweep,1
"EADA Business School, Barcelona — NOT a university",Master Online en Business Analytics e Inteligencia Artificial,X | AA | AB,YES,April (26 April 2027),'Primavera - 2027 ... Próximo inicio: 26 Abr. 2027 ... Duración: 12 meses',At least 2 — EADA labels editions by season ('Primavera - 2027' here; 'Otoño - 2026' on its sibling presencial master). The admission table is headed 'Intake: Primavera 2027'.,An autumn ('Otoño') edition exists in EADA's season naming; no autumn date was published for THIS online programme on the pages read — recorded as NOT FOUND rather than assumed.,"Admission rounds for 'Intake: Primavera 2027', verbatim (Ronda / Reserva de plaza): '17 Nov. 2026 / 1 Dic. 2026 (15% de descuento por matrícula anticipada)', '15 Dic. 2026 / 29 Dic. 2026 (15%)', '12 Ene. 2027 / 26 Ene. 2027 (10%)', '16 Feb. 2027 / 2 Mar. 2027 (10%)', '16 Mar. 2027 / 30 Mar. 2027'. FINAL round closes 16 March 2027, place reserved by 30 March 2027.","título propio / school diploma only — 'recibirás el Diploma de Master en Business Analytics e Inteligencia Artificial. expedido por EADA Business School'. EADA is not a university and this title is not even co-validated by one. Not in RUCT, no PhD access, not eligible for public scholarships.",,Online (with an optional presencial module at the EADA Residential Training Centre); Tiempo parcial,Español,"EUR 14,400 ('Importe del programa 14.400€'); EUR 13,400 for the '100% Online' option; the presencial module added later costs '1.400 € adicionales' (rates shown for the Primavera 2027 edition)",https://www.eada.edu/es/programas/datos-y-analiticas/master-online-en-business-analytics-e-inteligencia-artificial,'Primavera - 2027 · Próximo inicio: 26 Abr. 2027 · Duración: 12 meses · Modalidad: Online · Idioma: Español · Experiencia requerida: 2+ años'; admissions page: 'Rondas de Admisión Intake: Primavera 2027',"GENUINE SPRING COHORT — a real April start with its own admission calendar, not an application round against an autumn start. Two cautions for this candidate: (1) 'Experiencia requerida: 2+ años' professional experience; (2) taught in Spanish, and the candidate is A0/A1. Scholarships listed (Fundación EADA, Woman, Emprendimiento, Deportista de Élite, Tercer Sector) are internal and discount-based; a título propio is generally ineligible for Spanish public funding. www.eada.edu returns HTTP 403 to WebFetch — all facts here read from the page body fetched by curl with a browser User-Agent.",YES,,business-schools,1
"Escuela Universitaria de Artes TAI, Madrid (private)",Máster en Gestión de Industrias Culturales,P | S,YES,April 2027,"'Inicio: Abril 2027' (month and year, no day-of-month published)",1 — and it is the SPRING one. This programme does not appear to run an autumn cohort at all; April is its only advertised start.,none listed,NOT FOUND as a date. TAI publishes only a stepwise process with no deadline: '1. Cita — Inicia el proceso de admisión solicitando cita para tu entrevista en el +34 91 167 20 62 o en admision@taiarts.com. 2. Documentación. 3. Entrevista. 4. Admisión — Te comunicaremos por escrito si tu candidatura es APTA. 5. Reserva de plaza. 6. Matrícula.' The '15 de octubre' banner on the site is the matriculation cut-off for TAI's OCTOBER cohorts and must not be read as this programme's deadline.,"TÍTULO PROPIO — labelled 'Título Propio' on the page. NOT a máster universitario, not in RUCT, no ANECA verification, no PhD access, normally ineligible for public postgraduate scholarships.",,Presencial en Madrid,Español,NOT FOUND — no price on the page; a 'DESCARGAR FOLLETO' brochure is gated behind a form,https://taiarts.com/estudios/master-en-gestion-de-industrias-culturales/,"'Título Propio | Máster en Gestión de Industrias Culturales | Inicio: Abril 2027 | Duracion: 1 año académico | Creditos: 60 ECTS | Idioma: Español | Modalidad: Presencial en Madrid'. Plan de estudios (Curso 1): 'Fundamentos y ecosistema de las industrias culturales 9 | Economía, gestión y políticas culturales 9 | Producción, mediación y marketing cultural 9 | Innovación, tecnología y sostenibilidad en la cultura 9 | Talleres profesionales y proyectos aplicados 12 | Trabajo Fin de Máster 12'. Salidas profesionales include 'Gestor/a de festivales y eventos culturales'.","⭐⭐ THE CLEANEST SPRING-2027 HIT IN THIS SLICE — an explicitly dated 'Abril 2027' start, a full 60 ECTS spread over one academic year with a 12-ECTS TFM, and a published module-by-module credit breakdown. It is the only programme found here that names a 2027 spring month on a page that also states its credits. ⚠️ THREE HONEST CAVEATS. (1) The award is a TÍTULO PROPIO, not an official máster universitario: no PhD access, no MECES level, and public scholarships generally closed. Whether it supports a Spanish student visa is UNVERIFIED — it is full-time and presencial, which helps, but TAI does not publish weekly contact hours and the consulate decides. (2) It is Spanish-only, a hard filter at A0/A1. (3) FIT IS ADJACENT, NOT CENTRAL: this is general cultural-industries management (museums, exhibitions, curatorial projects, 'proyectos curatoriales y gestión de exposiciones', partner institution La Panera), not a music-industry or live-music programme. It touches path S only through one listed career outcome, 'Gestor/a de festivales y eventos culturales'. For a candidate whose target is music production or the music business it is a sideways move, and it should be presented as an EARLY-START option rather than a best-fit one. A candidate wanting TAI's actual music content would have to take the October Producción Musical or Music Business cohort instead.",YES,,music-schools,1
"Harbour.Space Institute of Technology, Barcelona — INTERNATIONAL BRANCH-STYLE PRIVATE INSTITUTE operating in Spain (sister campus in Bangkok)","Master's in Applied Computer Data Science; also Master's in Computer Science, Data Science, Cyber Security (Barcelona campus)",AB | AA | AC,YES,"Continuous — a new module intake roughly every 3 weeks, so multiple starts fall in January–June","«Intake every 3 weeks! There is no ""application deadline"" — you can start any upcoming module!» (printed twice in the site header and on the Barcelona 2026-2027 schedule page)",~17 (every 3 weeks),"September (the schedule page shows «Sep 07 - Sep 25, 2026» and «Sep 28 - Oct 16, 2026» as the next modules)","None — «There is no ""application deadline""» (verbatim)","NOT a Spanish official title in its own right. Verbatim from Harbour.Space's own FAQ: «Harbour.space is an acknowledged educational institution in Spain with an authorised Spanish license of 08078491. Students enrolled in specific programmes at Harbour.Space Institute of Technology have the opportunity to receive a double diploma with an accredited degree from the University of Vic - Central University of Catalonia (UVic-UCC) in Spain and/or the University of the Thai Chamber of Commerce (UTCC) in Bangkok, Thailand.» Note the hedges: «specific programmes», «have the opportunity to». The Harbour.Space diploma itself is not ANECA-verified and is not in RUCT.",,"presencial, Barcelona campus; 3-week intensive courses throughout the year",English (Harbour.Space teaches in English; NOT confirmed from a formal plan de estudios in this sweep — treat as unconfirmed),"NOT FOUND — no fee published on the programme, admissions or schedule pages",https://harbour.space/barcelona/master/applied-data-and-computer-science,"Intake every 3 weeks! There is no ""application deadline"" — you can start any upcoming module! / Harbour.space is an acknowledged educational institution in Spain with an authorised Spanish license of 08078491. Students enrolled in specific programmes ... have the opportunity to receive a double diploma with an accredited degree from the University of Vic - Central University of Catalonia (UVic-UCC) in Spain","PROVIDER TYPE THE OTHER SLICES WOULD MISS, and the most unusual calendar found: not a second cohort but a CONTINUOUS three-weekly intake, which trivially satisfies a Jan–Jun start. Absent from output/programmes.jsonl. Also runs 'FP Grado Superior' alongside its masters — an FP-centre/master hybrid. STRONG CAVEATS FOR THIS CANDIDATE: (a) the Spanish official title exists only via the UVic-UCC double diploma and only for unnamed 'specific programmes' — a human must confirm whether Applied Computer Data Science is one of them, otherwise there is no PhD access and no public-scholarship eligibility; (b) no tuition figure is published anywhere on the site; (c) a private institute diploma may not support a Spanish student visa — unverified. NOT VERIFIED: a search-index result asserted specific 2027 intake dates of «February 01, 2027 and February 22, 2027». Those dates are NOT recorded as fact — the schedule table on harbour.space/schedule/2026-2027 is JavaScript-rendered and the raw HTML (fetched by curl, HTTP 200, 375 KB) contains no 2027 date strings. Needs a human with a normal browser.",YES,,national-sweep,1
"HTL International School — Music Business Academy, Barcelona (hybrid: in-person Barcelona + live-streamed worldwide)",Máster Propio en Gestión de Industria Musical,P | S,YES,January and April (two of the four intakes fall in the Jan–Jun window),"«Convocatorias: Octubre, Enero, Abril, Julio»",4,"October, July",NOT FOUND — no closing date published,"título propio — «Máster Propio en Gestión de Industria Musical», a credential of HTL International School. Not ANECA-verified, not in RUCT, no PhD access, no public-scholarship eligibility",,Hybrid — in-person classes in Barcelona plus live-streamed virtual attendance from anywhere; Monday–Friday,Spanish,"EUR 10,000 standard, or EUR 8,000 paid in full up front, plus a EUR 500 enrolment fee — as displayed August 2026",https://htlmusicbusiness.academy/course/master-gestion-industria-musical/,"Convocatorias: Octubre, Enero, Abril, Julio. 1 Año académico; 720 horas en tres trimestres. 72 ECTS. Máster Propio en Gestión de Industria Musical.","GENUINE SPRING START in path P (music industry), a field where spring cohorts are rare. Provider is absent from output/programmes.jsonl. Substantial for a título propio: 72 ECTS over a full academic year, not a short certificate. Caveats for this candidate: Spanish-language instruction (candidate is A0/A1); título propio so no PhD access and no public funding; the hybrid/live-stream option means the January or April cohort could in principle be started remotely from Tunisia, which is unusual and worth a human checking against student-visa requirements.",YES,,national-sweep,1
"HTL Music Business Academy, Barcelona",Máster Propio en Gestión de Industria Musical (Master's Degree in Music Industry Management),P | S | X,YES,January and April both fall in the Jan–Jun window; July and October are the other two,"Programme fact block, verbatim (live, 2026-08-29): 'Modalidad del estudio: Barcelona y/o Híbrido · Idiomas: Idioma de enseñanza: ESPAÑOL · Duración: 1 Año académico · Programa de Máster Profesional · Convocatorias: Octubre, Enero, Abril, Julio · Horarios: Lunes-Viernes · Carga horaria: 720 horas · Tasas Matrícula: 500 euros · Tasas académicas: 10.000 euros (fraccionado en 2 partes) o 8.000 euros (pago completo con descuento)'.","4 (October, January, April, July)","October, July",NOT FOUND — no application open/close dates published for any convocatoria; admission is by enquiry and rolling.,"título propio / private-school certificate — the page calls it a 'Programa de Máster Profesional' and 'Máster Propio'. NOT a máster universitario: no RUCT code, no ANECA/BOE reference, no PhD access, no eligibility for Spanish public scholarships. The 72-ECTS figure quoted in output/deferred_candidates.jsonl is school-assigned, not university-validated.",,"Barcelona on-campus and/or hybrid (live virtual streaming). Monday–Friday timetable, 720 contact hours.",ESPAÑOL — stated verbatim as 'Idioma de enseñanza: ESPAÑOL' on the Spanish page. (output/deferred_candidates.jsonl notes an English option is offered; that is NOT visible on this page and is not confirmed.),"EUR 10,500 total (matrícula 500 + tasas académicas 10,000 in two instalments), or EUR 8,500 (500 + 8,000) paying in full up front. Year of applicability NOT STATED on the page.",https://htlmusicbusiness.academy/course/master-gestion-industria-musical/,"'Convocatorias: Octubre, Enero, Abril, Julio'","NEW FIND from output/deferred_candidates.jsonl line 516 — discovered but never enriched, and nobody had looked at it since discovery. Verified live on the school's own page 2026-08-29. This is the highest-frequency intake cycle found anywhere in the sweep (four cohorts a year), which makes it the most schedule-flexible P-path option — but it is a título propio, so it carries NO PhD access and NO public-funding eligibility, and the Spanish-only teaching is a hard filter for an A0/A1 candidate.",YES,,from-dataset,1
