id,path_letter,program_name,degree_awarded,institution,institution_type,city,country,mobility,language_of_instruction,english_level_required,duration_months,ects,tuition_non_eu_eur_per_year,tuition_notes,intake_2027_confirmed,application_opens,application_deadline,deadline_source_cycle,entry_requirements_summary,accepts_engineering_bachelor,portfolio_or_audition_required,scholarship_available,scholarship_names,scholarship_coverage_level,tunisia_eligible,program_url,admissions_url,funding_url,source_urls,verification_status,verifier_agent,verified_date,red_flags,fit_notes
AD-001,AD,MA Media Studies - Media & Creative Industries,MA,"Erasmus University Rotterdam (Erasmus School of History, Culture and Communication - ESHCC)",Public research university,Rotterdam,Netherlands,single_site,English,IELTS Academic 7.0 overall (6.5 subscores) or TOEFL iBT 100 (23 subscores); max 2 years old,12,60,21000,Institutional fee for NON-EEA master students at ESHCC 2026-2027 = EUR 21.000; statutory (EEA) fee EUR 2.694. 2027-2028 rate not yet published - 2026 cycle figure.,"likely - September start; 2026-2027 cycle pages live, 2027 dates TBC",1 October,15 April (non-EEA); 15 May (EEA),2026-2027 cycle - 2027 TBC,Research-university bachelor in social sciences or humanities; BSc Business Administration also eligible. Basic knowledge of media/communication field and social-scientific research methods required. HBO/vocational degrees need a pre-master. Unrelated research-university bachelors: pre-master recommended.,no,no,yes,Erasmus Trustfonds Scholarship; Holland Scholarship (institution-level),partial,TBC - Erasmus Trustfonds open to non-EEA; nationality rules not stated on page,https://www.eur.nl/en/master/media-creative-industries,https://www.eur.nl/en/master/media-creative-industries/application,https://www.eur.nl/en/master/media-creative-industries/fees-and-finances,https://www.eur.nl/en/master/media-creative-industries|https://www.eur.nl/en/master/media-creative-industries/application|https://www.eur.nl/en/master/media-creative-industries/fees-and-finances|https://www.eur.nl/en/education/practical-matters/registration/tuition-fee/tuition-fee-2026-2027,VERIFIED,W1-AD,2026-08-22,Non-EU tuition EUR 21.000/yr - one of the most expensive routes in this path. No direct-entry route for an engineering degree; pre-master year would add cost and time.,"Content fit is the single best in Europe for this path: 'production, organisation, management, marketing and distribution of media and creative products'. BUT the admission text enumerates social sciences/humanities/Business Administration only - a 300-ECTS software-engineering diploma is not on the list, so the realistic route is the one-year pre-master then the MA (2 years total). 300 ECTS far exceeds the credit bar; the blocker is DISCIPLINE, not credit volume. Overlaps Path L only lightly (management, not venture-building)."
AD-002,AD,MA Media Studies - Media & Business,MA,Erasmus University Rotterdam (ESHCC),Public research university,Rotterdam,Netherlands,single_site,English,IELTS Academic 7.0 (6.5 subscores); TOEFL iBT 100 (23); Cambridge C1/C2 185; PTE 75; LanguageCert 75,12,60,21000,ESHCC non-EEA institutional master fee 2026-2027 = EUR 21.000 (same faculty as AD-001).,likely - September start; 2026-2027 pages live,1 October,15 April (non-EEA application); 1 May stated as deadline for English-proficiency proof,2026-2027 cycle - 2027 TBC,Verbatim: 'You have obtained or will obtain a bachelor's degree from a research university in the social sciences or the humanities'; 'Applicants with a BSc in Business Administration are eligible for admission as well'; plus 'basic knowledge of the field of media and communication and social scientific research methods'. Pre-master exists for holders of a bachelor in a different field.,no,no,yes,Erasmus Trustfonds Scholarship,partial,TBC,https://www.eur.nl/en/master/media-business,https://www.eur.nl/en/master/media-business/admission,https://www.eur.nl/en/master/media-creative-industries/fees-and-finances,https://www.eur.nl/en/master/media-business|https://www.eur.nl/en/master/media-business/admission|https://www.eur.nl/en/master/media-business/premaster|https://www.eur.nl/en/education/practical-matters/registration/tuition-fee/tuition-fee-2026-2027,VERIFIED,W1-AD,2026-08-22,Engineering degree not on the eligible-discipline list. Pre-master page states it is 'designed for individuals who completed a bachelor's degree in a different field' - i.e. an extra year. EUR 21.000/yr non-EU.,"The most business-facing of the EUR media specialisations (media business models, strategy, platforms). Pre-master + MA = 2 years, roughly EUR 21k + pre-master fee. Strong long-term fit with the software+music dual career but the discipline gate is real and explicit."
AD-003,AD,MA Arts and Culture - Cultural Economics and Entrepreneurship,MA,Erasmus University Rotterdam (ESHCC),Public research university,Rotterdam,Netherlands,single_site,English,IELTS Academic 7.0 (6.5 subscores) or TOEFL iBT 100 (23 subscores),12,60,21000,ESHCC non-EEA institutional master fee 2026-2027 = EUR 21.000.,likely - September start,1 October,1 May (non-EEA); 15 May (EEA),2026-2027 cycle - 2027 TBC,"Verbatim: 'At least a bachelor's degree from a recognised Dutch research university with a good overall result or an equivalent qualification from an international higher education institution'; plus 'Some training in economics at university level, combined with a sustained interest in arts and culture documented in academic studies and/or vocational experience' and 'academic training in empirical research methods'. No discipline list - the gate is economics coursework, not faculty.",unclear,no,yes,Erasmus Trustfonds Scholarship,partial,TBC,https://www.eur.nl/en/master/cultural-economics-and-entrepreneurship,https://www.eur.nl/en/master/cultural-economics-and-entrepreneurship/admission,https://www.eur.nl/en/master/media-creative-industries/fees-and-finances,https://www.eur.nl/en/master/cultural-economics-and-entrepreneurship|https://www.eur.nl/en/master/cultural-economics-and-entrepreneurship/admission|https://www.eur.nl/en/education/practical-matters/registration/tuition-fee/tuition-fee-2026-2027,VERIFIED,W1-AD,2026-08-22,EUR 21.000/yr non-EU. Requires demonstrable university-level economics; a pure software-engineering curriculum may not satisfy it.,BEST EUR ENTRY ROUTE FOR THIS CLIENT of the three ESHCC options: unlike Media & Business / Media & Creative Industries it does NOT enumerate eligible disciplines - it asks for economics training + empirical research methods + documented interest in arts/culture. A 5-year engineering diploma normally carries economics/gestion and statistics modules; if so this is arguably 'likely'. Music-production portfolio and DJ activity can serve as the 'sustained interest in arts and culture ... vocational experience'. Heavy overlap with Path L (entrepreneurship) - orchestrator should dedupe against L.
AD-004,AD,Master Media Innovation,MA (NVAO-accredited),Breda University of Applied Sciences (BUas),University of applied sciences (hogeschool),Breda,Netherlands,single_site,English,TBC - no scores published on the programme page,12,60,17250,"Institutional tuition fee for non-EU students 2026-2027 = EUR 17.250; statutory EEA fee EUR 2.694. Note: Creative Business, Creative Media and Game Technologies and Applied Data Science & AI carry a HIGHER 'small-scale and intensive' rate - Media Innovation is not listed among them.",likely - programme page shows 1 September 2026 start; 2027 intake TBC,TBC,15 August (apply before 1 July recommended),2026-2027 cycle - 2027 TBC,"Verbatim: 'You are eligible if you hold a bachelor's degree (or equivalent) in the field of Business Administration, Media Studies, Communication Studies, IT, or another media-related field.' Page adds it is 'suitable for graduates and beginners from a wide range of fields' with 'no technical or programming background required'.",yes_explicit,no,TBC,"Holland Scholarship (institution-level, TBC for this programme)",none_found,TBC,https://www.buas.nl/en/programmes/master-media-innovation,https://www.buas.nl/en/programmes/master-media-innovation,https://www.buas.nl/en/programmes/master-media-innovation/study-costs,https://www.buas.nl/en/programmes/master-media-innovation|https://www.buas.nl/en/programmes/master-media-innovation/study-costs,VERIFIED,W1-AD,2026-08-22,"EUR 17.250/yr non-EU with no programme-specific scholarship found - funding-first client would need external funding. Breda is a small city far from the Amsterdam/Rotterdam media cluster. Applied-sciences (HBO) master, not a research master - limits later PhD routes.","STRONGEST ADMISSIBILITY MATCH IN THE WHOLE PATH: 'IT' is named outright as an eligible bachelor field, so a software-engineering diploma is explicitly in scope - the opposite of the Erasmus/RUG/Radboud discipline gates. Curriculum: media business models, IP management, strategy, innovation, entrepreneurship, consumer behaviour 'with particular emphasis on ... the media and entertainment industry'; industry partners include Banijay Productions and Samsung. 300 ECTS vastly exceeds any credit bar. Executive variant exists for 3-5 years' experience - not applicable to a fresh graduate."
AD-005,AD,MSc Business Administration - Entrepreneurship and Management in the Creative Industries (EMCI),MSc,"University of Amsterdam (Amsterdam Business School, Faculty of Economics and Business)",Public research university,Amsterdam,Netherlands,single_site,English,TBC - not stated on programme page,12,60,24050,"UvA 2026-2027 institutional fee table: Faculty of Economics and Business master's - EUR 21.800 (Amsterdam School of Economics) and EUR 24.050 (Amsterdam Business School). EMCI sits in the Amsterdam Business School. The table's EEA-institutional vs non-EEA columns were not fully disambiguated by the fetch, so treat EUR 24.050 as indicative and re-confirm.",likely - September start,TBC,TBC - non-EU deadline not published on programme page,2026-2027 cycle - 2027 TBC,"Completed academic BSc/BA/LLB from a research university; intermediate/advanced business courses in at least 2 of strategy, international management, organisation, marketing, leadership, entrepreneurship or organisational psychology totalling min 15 ECTS; min 10 ECTS intermediate/advanced quantitative research courses; min 5 ECTS academic writing at 3rd-year level (e.g. bachelor thesis); sound research methodology, analytical and statistical skills.",unclear,no,yes,Amsterdam Merit Scholarship (AMS) - non-EEA; Holland Scholarship,partial,likely - AMS is for 'outstanding students from outside the European Economic Area (non-EEA)'; no nationality exclusion found,https://www.uva.nl/en/programmes/masters/business-administration-entrepreneurship-and-management-in-the-creative-industries/business-administration-entrepreneurship-and-management-in-the-creative-industries.html,https://www.uva.nl/en/programmes/masters/business-administration-entrepreneurship-and-management-in-the-creative-industries/application-and-admission/entry-requirements/entry-requirements.html,https://www.uva.nl/en/education/fees-and-funding/tuition-fees/tuition-fees.html,https://www.uva.nl/en/programmes/masters/business-administration-entrepreneurship-and-management-in-the-creative-industries/business-administration-entrepreneurship-and-management-in-the-creative-industries.html|https://www.uva.nl/en/education/fees-and-funding/tuition-fees/tuition-fees.html|https://www.uva.nl/shared-content/programmas/en/masters/communication-science-corporate-communication/tuition-fee/amsterdam-merit-scholarship.html,PARTIALLY_VERIFIED,W1-AD,2026-08-22,"Around EUR 24k/yr non-EU - the most expensive Dutch option logged here; exact non-EEA column needs re-confirmation. The 15-ECTS business-coursework gate is a hard, countable requirement that a pure engineering transcript may fail.","Described by UvA as one of 'few Master's Business Administration programmes worldwide' focused exclusively on cultural and creative industries. The 10-ECTS quantitative-methods and 5-ECTS thesis gates are trivially met by a 300-ECTS engineering diploma; the 15 ECTS of business/management courses is the decisive question - Zizz should map his transcript against it before anything else. Amsterdam Merit Scholarship (approx. two-thirds of tuition, deadline 15 January) is the single most valuable funding lever found on this path. Strong overlap with Path L."
AD-006,AD,MSc Communication Science - Entertainment Communication,MSc,"University of Amsterdam (Graduate School of Communication, Faculty of Social and Behavioural Sciences)",Public research university,Amsterdam,Netherlands,single_site,English,IELTS Academic 7.0 (each section min 6.5) or equivalent TOEFL/Cambridge; max 2 years old,12,60,23455,UvA 2026-2027 Faculty of Social and Behavioural Sciences master: institutional EUR 21.300 / non-EEA EUR 23.455 per the university fee table. Statutory EEA fee EUR 2.694.,yes - page states February 2027 and September 2027 intakes with 2027 deadlines,TBC,1 March 2027 for September 2027 start (non-EU); 1 September 2026 for February 2027 start,2027 cycle - stated explicitly on the official page,"Verbatim: 'academic Bachelor's degree in Communication Science or a related discipline (e.g., Sociology, Psychology, Political Science, Communication & Information Studies, Media Studies, Journalism with a research emphasis, International Relations)'. Must demonstrate knowledge of communication-science theory, quantitative social-science methods and statistics, and prior empirical research with inferential statistics; otherwise a pre-Master may be required. Non-EU/EEA applicants must also submit a GRE score (no minimum).",no,no,yes,Amsterdam Merit Scholarship (AMS); Holland Scholarship,partial,likely - AMS targets non-EEA students; deadline 15 January,https://www.uva.nl/shared-content/programmas/en/masters/communication-science-entertainment-communication/application-and-admission/overview.html,https://www.uva.nl/shared-content/programmas/en/masters/communication-science-entertainment-communication/application-and-admission/non-dutch-nationality/how-to-apply-for-students-with-a-non-dutch-degree.html,https://www.uva.nl/en/education/fees-and-funding/tuition-fees/tuition-fees.html,https://www.uva.nl/shared-content/programmas/en/masters/communication-science-entertainment-communication/application-and-admission/non-dutch-nationality/how-to-apply-for-students-with-a-non-dutch-degree.html|https://www.uva.nl/en/education/fees-and-funding/tuition-fees/tuition-fees.html,VERIFIED,W1-AD,2026-08-22,Hard disciplinary gate (communication science or listed social sciences) plus a demonstrated quantitative-social-science-methods record. GRE required for non-EU applicants - an extra test on top of IELTS/TOEFL. EUR 23.455/yr.,"Closest thing in the Netherlands to an academic 'entertainment' master, and the 2027 deadlines are already published (1 March 2027 for the September 2027 intake - directly usable). But this is entertainment as a COMMUNICATION-SCIENCE research object, not entertainment-business management; and the entry gate excludes an engineering background without a pre-Master. Logged mainly so the orchestrator can see the barrier precisely."
AD-007,AD,"MA Media Studies - Media, Cultural Industries and Innovation",MA in Media Studies,University of Groningen (Rijksuniversiteit Groningen),Public research university,Groningen,Netherlands,single_site,English,IELTS Academic 7.0 overall; TOEFL iBT 100; Cambridge C1 min 185,18,90,13267,"Non-EU/EEA fee stated as EUR 19.900 for the FULL 18-month programme (fees are 1.5x a standard year), i.e. approx. EUR 13.267 per 12 months. 2026-2027 rate.",likely - September-only start,TBC,1 May (non-EU) for a 1 September start,2026-2027 cycle - 2027 TBC,Direct admission for a RUG BA in Media Studies. Other BA degrees must contain at least 30 ECTS of Media Studies coursework. HBO graduates must first complete a pre-Master's (max 60 ECTS).,no,no,yes,NL Scholarship (Holland Scholarship) for non-EEA master's students,partial,TBC,https://www.rug.nl/masters/media-cultural-industries-and-innovation/?lang=en,https://www.rug.nl/masters/media-cultural-industries-and-innovation/?lang=en,https://www.rug.nl/masters/media-cultural-industries-and-innovation/?lang=en,https://www.rug.nl/masters/media-cultural-industries-and-innovation/?lang=en,VERIFIED,W1-AD,2026-08-22,"Explicit 30-ECTS Media Studies prerequisite - a software-engineering transcript cannot satisfy it, so a pre-Master would be needed. 18-month programme means an extra half-year of tuition and living costs.","Content is squarely on-path (media innovation, cultural industries, start-ups, new formats) and per-year cost (approx. EUR 13.3k) is the cheapest of the Dutch research universities logged. The blocker is prior media coursework, not credits: 300 ECTS is far above any volume bar. Worth a direct email to admissions asking whether media-adjacent engineering project work counts toward the 30 ECTS."
AD-008,AD,"MA Arts and Culture (tracks incl. Arts, Policy and Cultural Entrepreneurship / Arts in Society)",MA in Arts & Culture,University of Groningen,Public research university,Groningen,Netherlands,single_site,English,IELTS Academic 6.5 overall (or VWO-level English),12,60,19900,"Non-EU/EEA fee EUR 19.900 per year, academic year 2026-2027.",yes - page states deadline 1 May 2027 for a 1 September 2027 start,TBC,1 May 2027 (non-EU/EEA),2027 cycle - stated on the official page,"Direct admission for a BA in Arts, Culture and Media; certain RUG BAs with a 30-ECTS minor in Arts & Culture/Arts in Society; applicants from related fields (arts philosophy, film, music, theatre, literature) assessed individually by the Admissions Board.",unclear,no,yes,NL Scholarship (Holland Scholarship),partial,TBC,https://www.rug.nl/masters/arts-policy-and-cultural-entrepreneurship/?lang=en,https://www.rug.nl/masters/arts-policy-and-cultural-entrepreneurship/?lang=en,https://www.rug.nl/masters/arts-policy-and-cultural-entrepreneurship/?lang=en,https://www.rug.nl/masters/arts-policy-and-cultural-entrepreneurship/?lang=en,PARTIALLY_VERIFIED,W1-AD,2026-08-22,The fetched page returned content headed 'Arts in Society' - RUG's arts masters share an MA Arts & Culture umbrella and the exact track name needs re-confirmation in Wave 2. Admissions Board discretion means no guarantee for a technical background.,"Arts policy and cultural entrepreneurship rather than media management proper - the AD/L border. Only route here for an engineering graduate is the individual Admissions Board assessment, so a very strong motivation letter plus the music portfolio would carry the case. 2027 deadline already published (1 May 2027)."
AD-009,AD,MA Creative Industries and Cultural Management (specialisation of MA Arts and Culture),MA,Radboud University Nijmegen,Public research university,Nijmegen,Netherlands,single_site,English,TOEFL iBT >=90; IELTS Academic >=6.5 (writing >=6.5); Cambridge C1 Advanced >=176,12,60,TBC,Radboud states 'different tuition rates' apply by personal situation; the non-EU institutional fee was not obtainable from the programme pages this session.,yes - admission page states the deadline 1 July 2027,TBC,1 July 2027 (non-EU/EEA); apply by 1 May for housing assistance,2027 cycle - stated on the official page,"International applicants: bachelor in Creative Industries, Cultural Studies, Art History, or a 'Bachelor of Arts with at least 30 EC in Art History, Cultural Studies and/or Cultural Policy'. Dutch applicants: a listed humanities/social-science BA. Verbatim on other backgrounds: 'Did you complete a Bachelor's degree in a different field from a Research University or a University of Applied Sciences? You may still be eligible for admission to a pre-Master's programme.'",no,no,TBC,Radboud Scholarship Programme (not confirmed on these pages),none_found,TBC,https://www.ru.nl/en/education/masters/creative-industries,https://www.ru.nl/en/education/masters/creative-industries/admission-and-application,TBC,https://www.ru.nl/en/education/masters/creative-industries|https://www.ru.nl/en/education/masters/creative-industries/admission-and-application,PARTIALLY_VERIFIED,W1-AD,2026-08-22,Requires a BA plus 30 EC in art history / cultural studies / cultural policy - an engineering diploma fails this outright; official route is a pre-Master's year. Non-EU tuition unverified. Small cohort (approx. 25 places).,Cultural-management flavour of the creative industries with hands-on assignments in Nijmegen cultural organisations. Very late non-EU deadline (1 July 2027) is unusual and useful as a fallback if earlier applications fail. Credit volume is a non-issue (300 ECTS); the pre-Master requirement is disciplinary.
AD-010,AD,MA Media Studies - New Media & Digital Culture,MA Media Studies,Utrecht University,Public research university,Utrecht,Netherlands,single_site,English,TBC,12,60,21342,Institutional (non-EU/EEA) fee EUR 21.342 for 2026-2027 per the programme page; EU/EEA statutory fee EUR 2.694.,likely - September start,TBC,TBC - not published on the programme overview page,2026-2027 cycle - 2027 TBC,Described as 'a selective Master's programme'; specific bachelor prerequisites not published on the overview page (entry-requirements subpage not retrieved this session).,unclear,no,yes,Utrecht Excellence Scholarship,partial,TBC,https://www.uu.nl/en/masters/new-media-digital-culture,https://www.uu.nl/en/masters/new-media-digital-culture,https://www.uu.nl/en/masters/new-media-digital-culture,https://www.uu.nl/en/masters/new-media-digital-culture,PARTIALLY_VERIFIED,W1-AD,2026-08-22,EUR 21.342/yr non-EU. Entry requirements and deadline unverified - must be closed out in Wave 2. Content leans critical/theoretical digital culture rather than media-business management.,"Borderline AD: it is a media-studies master with a digital-culture rather than a management core, but Utrecht Excellence Scholarship makes it worth keeping on the list for a funding-first client. A software-engineering background is a genuine asset for platform/algorithm-oriented theses here, which is not true of the more humanities-bound options."
