id,path_letter,program_name,degree_awarded,institution,institution_type,city,country,mobility,language_of_instruction,english_level_required,duration_months,ects,tuition_non_eu_eur_per_year,tuition_notes,intake_2027_confirmed,application_opens,application_deadline,deadline_source_cycle,entry_requirements_summary,accepts_engineering_bachelor,portfolio_or_audition_required,scholarship_available,scholarship_names,scholarship_coverage_level,tunisia_eligible,program_url,admissions_url,funding_url,source_urls,verification_status,verifier_agent,verified_date,red_flags,fit_notes
AC-001,AC,Master of Science in Marketing / Master Universitario en Marketing (Master's Degree in Marketing),Master of Science in Marketing (titulo oficial),Universidad Carlos III de Madrid (UC3M),public_university,Madrid,Spain,single_site,English,Official C1 (CEFR) in all four skills; TOEFL iBT 95-120; IELTS 7.0-8.0; Cambridge CAE; TOEIC Four Skills 1096-1345. Exempt if prior degree taught in English.,11,60,13500,Non-EU rate 225 EUR/ECTS x 60 ECTS = 13500 EUR total (2025-26 published rate). EU rate 150 EUR/ECTS = 9000 EUR. Plus 1500 EUR reservation fee deducted from first payment.,TBC,TBC,TBC - page showed 'Applications CLOSED' for 2026-27 at time of check,2026 cycle - 2027 TBC,"Official bachelor/grado/licenciatura or equivalent (min 3 years university study); any bachelor discipline accepted, academic excellence valued; final-year students may apply. 60 places. AACSB accredited.",yes_explicit,no,yes,UC3M merit scholarships call AM01-26/27 (5 x 1500 EUR + 5 x 3000 EUR); merit scholarships up to 50% of EU fees; UC3M-Stevens dual degree USD 10000,partial,TBC,https://www.uc3m.es/master/marketing,https://www.uc3m.es/master/marketing,https://www.uc3m.es/master/marketing,https://www.uc3m.es/master/marketing|https://www.uc3m.es/master/direccion-marketing,VERIFIED,W1-AC,2026-08-22,"Non-EU pay 1.5x the EU per-credit rate. C1/IELTS 7.0 is a high English bar and client has taken no test yet. Scholarship pool small (10 awards, max 3000 EUR).","STRONGEST SPANISH PUBLIC FIND for this client. Explicitly states ANY bachelor discipline is accepted - the clearest 'engineering welcome' text found in this path. English-taught, so no Spanish needed. Has a DIGITAL MARKETING specialisation track alongside Marketing Management. 300-ECTS engineering diploma far exceeds the 3-year minimum. No music/entertainment track found."
AC-002,AC,Master Universitari en Marqueting (Master's Degree in Marketing),Master Universitari (official master's degree),Universitat Autonoma de Barcelona (UAB),public_university,Cerdanyola del Valles (Barcelona metro area),Spain,single_site,Spanish (80%) and English (20%),TBC - not stated on programme page,12,60,4500,"Programme page states 75 EUR/credit for non-EU non-resident students, 2026-2027; 75 x 60 ECTS = 4500 EUR. EU/resident rate 19.37 EUR/credit. NOTE minor conflict: UAB central price page lists 66 EUR/credit non-EU for 'professionalising' masters and 19.37 EUR/credit EU for non-professionalising - confirm exact band at application.",TBC,"12/01/2026 (preinscription, 2026-27 cycle)",TBC,2026 cycle - 2027 TBC,"Official master's; 40 places/year; in-person at Facultat d'Economia i Empresa, Campus Bellaterra. Specific accepted access degrees not published on the general page - see 'Requisits i criteris'.",unclear,no,TBC,TBC,none_found,TBC,https://www.uab.cat/web/estudiar/l-oferta-de-masters-oficials/informacio-general/marqueting-1096480139517.html?param1=1296632381912,https://www.uab.cat/web/estudiar/l-oferta-de-masters-oficials/informacio-general/marqueting-1096480139517.html?param1=1296632381912,TBC,https://www.uab.cat/web/estudiar/l-oferta-de-masters-oficials/informacio-general/marqueting-1096480139517.html?param1=1296632381912|https://www.uab.cat/web/estudiar/masters-i-postgraus/masters-oficials/preus-dels-estudis-1345663349772.html,PARTIALLY_VERIFIED,W1-AC,2026-08-22,Two different non-EU per-credit figures appear on UAB pages (75 vs 66 EUR/credit) - CONFLICT to resolve. Mostly Spanish-language teaching. Access degree list not published on the page opened.,"One of the CHEAPEST credible options in the whole path at ~4500 EUR/yr for a non-EU student, in the client's #1 city region (Barcelona). Programme page emphasises data analysis and data treatment, so it partially satisfies the quantitative-marketing preference. Spanish is fine for the client (he has French/Arabic/English but Spanish is listed as acceptable per brief - language is never an exclusion). No music/entertainment track found."
AC-003,AC,Master Universitario en Marketing (Master's Degree in Marketing),Master Universitario (official master's degree),Universidad Complutense de Madrid (UCM),public_university,Madrid,Spain,single_site,Spanish (implied; not stated explicitly),TBC,TBC,TBC,TBC,"VERIFIED RATE, ECTS UNKNOWN so annual total not computed. UCM 2026/2027 official master price per ECTS: 45.02 EUR (1st enrolment), 71.88 EUR (2nd), 84.07 EUR (3rd+). Under Decreto 43/2022 (Comunidad de Madrid), non-resident non-EU foreign students over 18 are charged the THIRD-enrolment rate for non-regulated masters = 84.07 EUR/ECTS. A 60-ECTS master would therefore cost ~5044 EUR/yr - confirm ECTS before relying on this.",no - 2026/2027 listing marked 'pending authorization from the Community of Madrid',TBC,TBC,2026 cycle - 2027 TBC,Official master at Facultad de Ciencias Economicas y Empresariales. First HYBRID master at UCM (in-person + virtual). Access/admission criteria on a separate 'Acceso y admision' page not opened.,unclear,no,TBC,TBC,none_found,TBC,https://www.ucm.es/estudios/master-marketing,https://www.ucm.es/estudios/master-marketing,https://www.ucm.es/informacion/precios-masteres,https://www.ucm.es/estudios/master-marketing|https://www.ucm.es/informacion/precios-masteres,PARTIALLY_VERIFIED,W1-AC,2026-08-22,Programme listed as PENDING AUTHORISATION from the Comunidad de Madrid for 2026/2027 - existence for Sept 2027 is not guaranteed. Non-EU students pay the punitive third-enrolment rate (~1.9x the standard rate) under Decreto 43/2022.,"KEY STRUCTURAL FINDING for the whole Spain strategy: Madrid public universities do NOT charge a flat non-EU surcharge - they charge the third-enrolment tier. That still lands around 84 EUR/ECTS, i.e. roughly 5000 EUR/yr, far below any Dutch public. Hybrid delivery could suit a client running a parallel music career. Same Decreto applies to UAM (AC-004)."
AC-004,AC,Master Universitario en Marketing (MUM) (Master's Degree in Marketing),Master Universitario (official master's degree / master oficial),Universidad Autonoma de Madrid (UAM),public_university,Madrid,Spain,single_site,Spanish,TBC,TBC (aggregators report 18 months; not confirmed officially),TBC (aggregators report 90 ECTS; not confirmed officially),TBC,"Official UAM page opened did not publish prices. Comunidad de Madrid Decreto 43/2022 (verified via UCM's official price page) charges non-resident non-EU students the third-enrolment rate for non-regulated masters. Unofficial sources quote ~7599 EUR total for non-Europeans vs ~2701 EUR standard, consistent with a 90-ECTS programme at the third-enrolment tier - MUST be confirmed on UAM's own matricula page.",TBC,TBC,TBC,2026 cycle - 2027 TBC,"Official master run by the Marketing Department, Facultad de Ciencias Economicas y Empresariales. 40 places/year, described as rigorous selection with ~300 applications from Europe, America and Asia. Includes 120-hour curricular internship (6 ECTS) plus optional extracurricular placements. Started 2009-10 as 'Master en Direccion de Marketing'.",unclear,no,TBC,TBC,none_found,TBC,https://www.uam.es/economicas/en/facultad/departamentos/marketing/master-universitario-en-marketing,https://www.uam.es/economicas/en/facultad/departamentos/marketing/master-universitario-en-marketing,TBC,https://www.uam.es/economicas/en/facultad/departamentos/marketing/master-universitario-en-marketing|https://www.ucm.es/informacion/precios-masteres,PARTIALLY_VERIFIED,W1-AC,2026-08-22,"Highly selective: ~300 applications for 40 places. Price, ECTS and duration all unconfirmed on official pages. Spanish-taught.","Strong public Madrid option and likely in the 5000-7600 EUR total range for a non-EU student - still an order of magnitude cheaper than any Dutch public. Built-in internship (practicas) is useful for a career-switching engineer. Wave 2 must open UAM's own matricula/precios page and the 'Perfil recomendado y criterios de admision' page to settle ECTS, price and whether engineering degrees are on the access list."
AC-005,AC,Master Universitari en Marqueting i Investigacio de Mercats (Master's Degree in Marketing and Market Research),Master Universitari (official master's degree),Universitat de Valencia (UV),public_university,Valencia,Spain,single_site,Spanish/Catalan (TBC - not stated on page),TBC,12,60,2120,Official UV programme page lists 35.34 EUR/credit; 35.34 x 60 ECTS = 2120.40 EUR. NO non-EU surcharge is mentioned anywhere on the page - the Comunitat Valenciana does not appear to apply a differential non-EU master's rate. This must be re-confirmed on UV's matricula page in Wave 2 before being relied on.,TBC,TBC,TBC,2026 cycle - 2027 TBC,"80 places offered. Face-to-face at Av. Tarongers campus, Valencia. Specific access degrees on a separate admission page not opened.",unclear,no,TBC,TBC,none_found,TBC,https://www.uv.es/uvweb/master-marketing-market-research/en/master-s-degree-marketing-market-research-1285880147364.html,https://www.uv.es/uvweb/college/en/masters/master-s-degree-marketing-market-research-1286130807410/Titulacio.html?id=1285850894834&p2=3-2,TBC,https://www.uv.es/uvweb/master-marketing-market-research/en/master-s-degree-marketing-market-research-1285880147364.html|https://www.uv.es/uvweb/college/en/masters/master-s-degree-marketing-market-research-1286130807410/Titulacio.html?id=1285850894834&p2=3-2,PARTIALLY_VERIFIED,W1-AC,2026-08-22,"The absence of a non-EU surcharge is inferred from silence on the page, not from an explicit statement - HIGH-VALUE ITEM TO RE-VERIFY. Language of instruction not confirmed. Access degree list not opened.","CHEAPEST VERIFIED PRICE IN THE ENTIRE PATH at ~2120 EUR/yr - roughly one tenth of a Dutch public marketing MSc. Valencia is explicitly in the client's priority-1 geography. 80 places means admission pressure is far lower than UAM's 40. Market-research orientation rewards statistics and programming. If the no-surcharge reading holds, this is the single best funding-first marketing option found."
AC-006,AC,Master Universitario Interuniversitario en Marketing y Comportamiento del Consumidor (Interuniversity Master's Degree in Marketing and Consumer Behaviour),"Master Universitario (official interuniversity master's degree, UGR + UJA)",Universidad de Granada (coordinating) with Universidad de Jaen,public_university,Granada (with some teaching at Jaen),Spain,single_site,Spanish (Castellano),Official B1 English certificate required of ALL students; official B2 Spanish certificate required if Spanish is not the applicant's first language,12,60,TBC,Programme page points to the Escuela de Posgrado 'tabla del precio por credito' plus degree-issuance fees but publishes no figure. Andalusian public universities apply a low regional per-credit rate (aggregators quote ~821 EUR for the full 60 ECTS) and no non-EU differential was found - MUST be confirmed on the UGR Escuela Internacional de Posgrado price page.,TBC,via Distrito Unico Andaluz portal - dates vary annually,TBC,2026 cycle - 2027 TBC,"60 places: 25 Granada in-person, 25 Granada virtual, 5 Jaen in-person, 5 Jaen virtual (from 2024-25). Basic statistics knowledge recommended. Classes late October to end April; exams January and April-May. Access degree priority list on a separate admission page (404 on the two URLs tried).",unclear,no,TBC,TBC,none_found,TBC,https://masteres.ugr.es/marketing/informacion/presentacion,https://masteres.ugr.es/marketing/,TBC,https://masteres.ugr.es/marketing/informacion/presentacion|https://masteres.ugr.es/marketing/,PARTIALLY_VERIFIED,W1-AC,2026-08-22,Requires a B1 ENGLISH certificate AND (for the client) a B2 SPANISH certificate - two language certificates the client does not yet hold. Price not published on the programme page. Granada is outside the client's preferred Barcelona/Madrid/Valencia axis.,"Potentially the cheapest option in Spain (Andalusian public rates are the lowest in the country) and it offers a VIRTUAL delivery stream (25 of 60 places) - but a virtual place is a poor basis for a Tunisian student visa, so target the in-person stream. 'Comportamiento del Consumidor' (consumer behaviour) is a direct match to the path's consumer-behaviour scope. Statistics background explicitly recommended, which favours an engineer."
AC-007,AC,Master of Science in Marketing / Master Universitari en Marqueting,Official master's degree awarded by Universitat Pompeu Fabra,UPF Barcelona School of Management (Universitat Pompeu Fabra),public_university_business_school,Barcelona,Spain,single_site,English,TBC on official page (aggregators cite TOEFL 72 / IELTS 5.5 minimum - NOT confirmed officially),10,60,18500,"18500 EUR for the full 60-ECTS programme, stated on the official UPF-BSM admission & registration page. No separate non-EU rate is published - UPF-BSM is a foundation-run school so it charges a single market price rather than the public per-credit rate.","yes - official page states 'Classes start: 20 September, 2027'",TBC,TBC,2027 cycle,"Targets graduates in Economics, Statistics, Communication or Business Administration. Applicants from OTHER fields are accepted if they have a minimum of 2 years of marketing-related professional experience. No GMAT requirement stated.",no,no,TBC,TBC,none_found,TBC,https://www.bsm.upf.edu/en/master-of-science-in-marketing,https://www.bsm.upf.edu/en/master-of-science-in-marketing/admission-registration,TBC,https://www.bsm.upf.edu/en/master-of-science-in-marketing/admission-registration,VERIFIED,W1-AC,2026-08-22,"BACKGROUND BARRIER: an engineering graduate falls in the 'other fields' bucket and would need 2 years of marketing-related professional experience, which the client does not have. 18500 EUR is public-school branding at private-school prices. No scholarship information published.","2027 START DATE ALREADY CONFIRMED IN WRITING (20 September 2027) - one of very few programmes in this sweep with the target intake explicitly on the page. English-taught in Barcelona, the client's #1 city. The 2-years-experience clause is the blocker; Wave 2 should ask admissions directly whether a 300-ECTS engineering diploma with quantitative content can substitute."
AC-008,AC,"Master Universitari en Marqueting / Master Universitario en Marketing (Master's Degree in Marketing, Spanish-taught)",Official master's degree awarded by Universitat Pompeu Fabra,UPF Barcelona School of Management (Universitat Pompeu Fabra),public_university_business_school,Barcelona,Spain,single_site,Spanish (Castellano),not applicable / TBC - no English level published; Spanish level not published either,10,60,14500,14500 EUR for the full 60-ECTS programme per the official UPF-BSM page. No separate non-EU rate published.,TBC - page shows next start 28 September 2026,TBC,TBC,2026 cycle - 2027 TBC,"Targets graduates in economics, statistics, communication or business administration; candidates from other fields must demonstrate prior experience in the marketing sector.",no,no,TBC,TBC,none_found,TBC,https://www.bsm.upf.edu/es/master-universitario-en-marketing,https://www.bsm.upf.edu/es/master-universitario-en-marketing,TBC,https://www.bsm.upf.edu/es/master-universitario-en-marketing,VERIFIED,W1-AC,2026-08-22,Same background barrier as AC-007 (non-business applicants need marketing sector experience). 14500 EUR is high for a programme attached to a public university.,"The Spanish-language sibling of AC-007 and 4000 EUR cheaper. Same UPF official degree, same Barcelona campus. Worth keeping only if the client is comfortable studying in Spanish; the English-taught AC-007 has the confirmed 2027 start."
AC-009,AC,MSc in Marketing Management,MSc (Esade Business School / Universitat Ramon Llull),Esade Business School (Universitat Ramon Llull),private_university_business_school,Barcelona,Spain,single_site,English,"TBC on official fees page - proficiency in English required; GMAT or GRE score valid within last 5 years required (avg admitted GMAT reported 650-670, unofficial)",12,TBC,39000,Official Esade MSc fees page: 39000 EUR for one-year MSc programmes for 2027-2028 (this covers MSc in Marketing Management). Global Masters variant 43200 EUR. Application fee 150 EUR. Page publishes NO different price for non-EU students - the same fee applies regardless of citizenship.,yes - fee schedule published for 2027-2028 intake,TBC,Excellence Awards deadline 15 July 2026; Fundacio Princesa de Girona scholarship deadline 15 June,2027 cycle (fees) / 2026 cycle (scholarship dates),"Bachelor's degree, valid GMAT or GRE taken within 5 years, English proficiency, online application. Accepted bachelor backgrounds not restricted to business on the pages opened.",likely,no,yes,"Esade Need-Based Scholarships (50-85% of tuition); Fundacio Princesa de Girona (up to 50%); Esade MSc Excellence Awards (10-50%, avg 26%); Global Marketing Award; Women in Management Award; Sustainability in Business Award",partial,TBC,https://www.esade.edu/master-of-science/en/program/masters-in-marketing-management,https://www.esade.edu/master-of-science/en/program/masters-in-marketing-management/admissions,https://www.esade.edu/master-of-science/en/fees-and-financing,https://www.esade.edu/master-of-science/en/fees-and-financing,PARTIALLY_VERIFIED,W1-AC,2026-08-22,39000 EUR/yr is the most expensive option in this path and directly contradicts the funding-first strategy. GMAT/GRE REQUIRED - a hard extra test on top of an English test the client has not taken. Even an 85% need-based award still leaves ~5850 EUR plus Barcelona living costs.,Logged because Esade is a top-5 European marketing school and its NEED-BASED scholarships (50-85% of tuition) are unusually deep - the only programme in this path where an award could plausibly close most of a 39000 EUR gap for a Tunisian applicant. There is a named 'Global Marketing Award'. Note the requirement for above-average test scores to qualify for need-based aid. No music/entertainment track found.
AC-010,AC,MSc Marketing - Marketing Management,MSc in Marketing,University of Groningen (Rijksuniversiteit Groningen),public_university,Groningen,Netherlands,single_site,English,"IELTS Academic overall 6.5 (Speaking 6, Writing 6.5); TOEFL iBT overall 90 (Speaking 20, Writing 24); Cambridge C1 Advanced/C2 Proficiency 176; PTE Academic 66; LanguageCert Academic 70",12,60,22200,"22200 EUR/year for non-EU/EEA students, academic year 2026-2027, per the official RUG programme page.",yes - page lists a 1 September 2027 start with a 15 October deadline reference,TBC,"15 October (non-EU, for the listed start)",2027 cycle,"Academic Bachelor's or Master's from a RESEARCH university in Business Economics, Business Administration, Econometrics and Operations Research, Economics and Business Economics, International Business, or Technology Management (or closely related). Pre-master packages exist for some routes.",no,no,TBC,TBC,none_found,TBC,https://www.rug.nl/masters/msc-marketing-marketing-management/?lang=en,https://www.rug.nl/masters/msc-marketing-marketing-management/?lang=en,TBC,https://www.rug.nl/masters/msc-marketing-marketing-management/?lang=en,VERIFIED,W1-AC,2026-08-22,HARD BACKGROUND GATE: the accepted-degree list is business/economics/econometrics only. 'Technology Management' is the closest adjacent field but a Software Engineering diploma is not on the list. 22200 EUR/yr is ~10x a Spanish public. No scholarship named on the programme page.,"Groningen's marketing group is one of the strongest in Europe and the department is explicitly quantitative, but the admission gate is the problem, not the price. Wave 2 should ask RUG admissions whether a 300-ECTS Software Engineering diploma with heavy maths/statistics is treated as 'closely related' to Technology Management, and whether a pre-master package is offered. See AC-011 for the analytics profile, which is the better fit if the gate can be cleared."
